MapID	SymbolID	ImagePath	nFrame	Name	Description	Position
0	0		0			
2	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	74823,65043;71779,61216;69255,48138;67353,41763;50872,50318;49166,40863;41014,38680;33331,36793;53799,27928;42010,22457;
2	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		74823,65043;
2	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		71779,61216;
2	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		69255,48138;
2	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		67353,41763;
2	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		50872,50318;
2	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		49166,40863;
2	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		41014,38680;
2	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		33331,36793;
2	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		53799,27928;
2	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		42010,22457;
5	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	5667,13706;22648,11113;37553,18987;54596,27713;55555,38770;30075,37716;24236,47130;26359,59309;24042,72735;28993,74369;
5	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		5667,13706;
5	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		22648,11113;
5	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		37553,18987;
5	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		54596,27713;
5	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		55555,38770;
5	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		30075,37716;
5	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		24236,47130;
5	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		26359,59309;
5	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		24042,72735;
5	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		28993,74369;
7	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	39520,2925;32096,10216;27132,17669;31564,47165;24321,47324;30900,63800;32508,75443;38495,69295;48523,80230;54327,92605;
9	1	ui/Image/Minimap/Minimap.UITex	200	вМтЁ	вМтЁЁЖц╩╢╕	54562,81664;50729,73669;53411,58778;45596,48265;31132,45231;22824,29504;19476,25283;9155,15641;8180,6210;18697,8463;
9	2	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		54562,81664;
9	3	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		50729,73669;
9	4	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		53411,58778;
9	5	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		45596,48265;
9	6	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		31132,45231;
9	7	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		22824,29504;
9	8	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		19476,25283;
9	9	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		9155,15641;
9	10	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		8180,6210;
9	11	ui/Image/Minimap/Minimap.UITex	200	еялсуъ		18697,8463;
