id	content
0	
1	\n\n\n\n   　 当年杭州西湖畔，有一老字号生药铺，名唤【济世堂】。门面不大，药材品种却十分齐全。所有三千药料，八百丹方，都能在这里配齐。故而整日顾客盈门，门庭若市。店主姓何，只有一女，曾经有过一桩异事发生在她身上。\n\n　　十三岁时，随女伴进山采药，走失迷路，独自在山间寻道行走。忽见东峰下站立一老人，神态飘逸。何姑娘感到非常奇异，便上前参拜，请老公公指路。
2	\n\n\n\n    老人慈祥地说道：『小姑娘，你怎么一个人跑到这深山里来了，饿了吧?我这里有一鲜桃，你先吃了充充饥，我再告诉你怎么出山。』\n\n　　这姑娘接过桃子，立觉有一股清香扑鼻。正好腹中饥饿，恨不得一口吞了下去；但她是一个非常孝顺父母的姑娘，只把鲜桃吃了一半，就舍不得吃了；想把那一半带回家去，让父母也尝尝鲜。不料，一失手，桃子掉到地上竟找不见了。她只得背上草药，按照老公公指引的道路，回到家中。
3	\n\n\n\n    说也奇怪，打从吃过那半个桃子之后，她肚里再不感到饥饿了，而且浑身有使不完的劲。身体也觉得轻松了许多。走起路来，像飞一般快。每天早晨上山，天还不黑，就采了满满的一蓝子草药回来。还时常采了很多山果给父母吃。且变得更加聪明伶俐，通晓世事。\n\n    再说这药店，一日来了位道人，口称买药。伙计问他要什么？道士答道：『我要配一付家和散，又要一剂顺气汤。再要一盒消毒丸，还要长生不老丹。』
4	\n\n\n\n　　一听道士要这么些怪药，众人面面相视，不解其意。店主应付不了道士，便附耳小伙计，让他快上楼去把小姐叫来。\n　　何姑娘来至店堂前，彬彬有礼地作一揖，问道：『仙长来小店，需买甚么药?请讲！小女子这里伺候了。』道人又重复叙说了一遍，何姑娘洗耳恭听。待道士把话说完，何姑娘眉毛一扬，竟爽朗地答道：『有！有！仙长所言药汤丸散，全都齐备。』\n    何姑娘道：『父慈子孝是家和散，兄友弟恭是顺气汤。妯娌和睦乃消毒丸，少欲无烦不老丹。』
5	\n\n\n\n\n　　几句话说得众人恍然大悟，连连称是。这个说：『姑娘这话一点不假。我那老母亲，就是让我那忤逆不孝的兄弟气病的。他若能孝顺父母，不惹老母生气，她老人家的病早就好了。』那个说：『俺同胞亲兄弟，本来相亲相爱。自从娶了家室，两个妇人家整日饶舌弄嘴，你非我是，争家财要田产，弄得俺兄弟之间动了拳脚，损了筋骨，伤了兄弟情分。细想起来，妯娌不和是毒根也。』
6	\n\n    华山险绝五岳，历来是仙家之地，传说颇多，最为有名的，当属传说玉帝之女三圣母，在蟠桃会上，与一仙童言笑无状，惹怒玉帝和王母。于是将仙童打入凡间，三圣母贬谪到华山雪映宫。\n    这仙童转世投胎，到一刘姓人家，取名刘玺，字彦昌。此人聪敏异常，饱读诗书，二十多岁就中了秀才。一年，皇榜开科，刘玺上京赶考，路过华阴。闻人听说三圣母十分灵验，于是进庙求签，问问前程。
7	\n\n    刘玺见三圣母神像端庄，不由心生敬意。恭恭敬敬的拜过之后，又郑重其事的摇签筒。\n    谁知事不凑巧，适逢三圣母外出赴宴，看门童子不敢冒然赐签。这刘玺一抽是白签，再抽还是白签，最后第三下一抽，还是白签，刘玺十分生气，便留下一首诗：“刘玺提笔气满腔，怒怨圣母三娘娘，连抽三签无灵验，枉受香烟在此方。”写罢扬长而去。
8	\n\n    三圣母回宫本是高高兴兴，一见墙上写的诗，不由得非常生气，连道“这狂生颇是无礼！”便召集风神雨神，要给他点颜色看看。这刘玺正在路上，突然天色大变，风雨交加，让他寸步难行。他本一文弱书生，怎经得起如此的狂风暴雨，不一会就精疲力竭，倒在泥泞之中。\n    三圣母本是一时之气，见他受苦，心中早已不忍，遂命众神退下，自己按下云头，到刘玺身边。这一看方知他乃当年的仙童，如今已是一个相貌堂堂，一表人才的书生，顿时心生爱慕。遂化作凡人，照顾刘玺。
9	\n\n　　刘玺醒来，见救命恩人乃一位妙龄女子，也是一见钟情，二人结为夫妻。此事，后来为三圣母之兄二郎神杨戬所知。\n    那杨戬在天宫吃桃，随手扔核，不料却砸到了齐天大圣孙悟空，二人斗起嘴来。这悟空因打死白骨精，被唐僧误会，逐出师门，正在气头上呢。\n    被二郎神一抢白，顿时翻起家底：“好你个二郎神，你说我被逐出师门，也不看看自己的妹子，思凡下界，正与凡人私会，这会恐怕连孩子都有了。”
10	\n\n    二郎神又羞又怒，驾起祥云直奔华山，亮起方天画戟，指着三圣母就问：“你是不是与凡人苟合，有了孩子了？”三圣母见二郎是气势汹汹，情知躲不过，便承认了。这二郎神暴跳如雷，大骂三圣母不顾羞耻，私配凡人，违犯天条，有失仙体。马上把她压在华山西峰顶上的一块大石头下面。\n    再说那刘彦昌和三圣母结为夫妇，百日之后，上京考取了进士，做了洛州知县。可怜的三圣母在那块石头下，受尽各种苦难，生下一个男孩起名沉香。
11	\n\n    她怕二郎害了沉香，包好婴儿，写好血书，交给丫环灵芝，让她送往洛洲。\n    沉香长到十几岁时，在南学读书。一天秦国舅的儿子秦官保，讥笑沉香没有亲娘，是个私生子，沉香大怒，失手打死了秦官保，跑回家去，向父亲说了闯祸的根源，刘彦昌只得讲出真情实况。沉台听后，决心到华山救出母亲，便匆匆地逃出洛州。\n    当是祖师爷正在华山修道，掐指一算，得知沉香要来救母，为他的孝心所感动，心想：这是一桩义事，我定要助他一举成功。
12	\n    吕祖便亲身前往山下等候。沉香来到山下，见了祖师，急忙施礼：“请问道长，这山可是华山？”\n    “问华山做什么?” \n    “拯救母亲。”\n    “你母何人，现在哪里?”\n    “我母玉帝女儿三圣母，被舅舅杨戬压在山上的一块石头底下，故到此来救。”\n    “去不得!去不得!杨戬乃是天上凶神，心毒手狠，武艺高强，你小小年纪， 岂是他的对手，劝你罢了此念!\n    沉香大瞪两眼，说：“为了救出我母，那怕粉身碎骨，也要和他较量一番。”
13	\n    “有志气，有志气!”吕祖向沉香说， “如不嫌弃，我愿给你传授武艺，不知意下如何?”\n    沉香听罢，欢喜满怀，急忙跪拜师父。从此，沉香便在吕祖门下学艺。他每天起早贪黑精心学练，十八般武艺，样样精通。一天吕祖外出，嘱咐沉香在家好好习艺。沉香闭了庙门舞枪弄棒，用心练习。到了饭时，不见师父回来，他又练了起来。就这样练了又练，等了又等，直到太阳偏西，肚子实在饿得不行了，才去厨房做饭。
14	\n    他进了灶房，发现笼里蒸好了用面捏成的九头牛和二只虎，觉得有些奇怪，但饥饿难忍，顾不得许多，就大口吞小口咽地吃完蒸好的九牛二虎，马上觉得力大无穷。来到院中拿起平时用的武器，好象轻飘飘的很不应手。他东张西望，见墙角放——条碗口粗、八尺长的铁杵，用手一抓，不轻不重，便挥舞起来。正在这时。吕祖回来了。\n    他哈哈大笑，说： “好了!好了!”沉香收住铁杵，双膝跪下。
15	\n    吕祖对他说： “你的武艺学成，可以上山救母。开山的钥匙在你舅父杨戬那儿放着。他有一鹰一犬，十分厉害。我赐你药丸二枚，圆的伏犬，长的治鹰，到时自有用处。”\n    沉香听罢，提着铁杵，迈步上山，去找杨戬。他到了天门，看见许多天将簇拥着一位威风凛凛、 傲气十足的大神，便打躬问道：“请问大仙，杨戬在哪里?”\n    “你是何人，问他做甚?” \n    “我叫沉香，前来救母，问他要开山的钥匙。”
16	\n    杨戬听了，双眉竖起，大瞪两眼，吼道： “胆大畜牲，竟敢放肆，早早滚开，免你一死。” \n    沉香看他那股神气，料是杨戬，先礼后兵地说: “请把开山钥匙给我，以便放出母亲。”\n    “孽障!不给你点颜色，怎知我的厉害!”杨戬拿起三尖两刃刀，朝着沉香的脑前砍来。沉香举起铁杵，奋力一扬，只听哨啷一声，那把刀断为两截，上半截朝半空飞去。二郎又气又急，一声咆哮，叫来了哮天犬。哮天犬张着血盆大口，腾空扑来。
17	\n    沉香抛出圆形药丸，哮天犬张口吞下，霎时间牙关紧闭，躺在地上打滚。杨戬看见哮天犬死去，又放出神鹰。\n    神鹰双翅一展，遮天掩地，两只利爪，犹如尖刀。\n    沉香又抛出长形药丸，把那神鹰的两只翅膀钉在上半空，上也不得上，下也下不来。这时威风一世的二郎神满脸紫青，头疼身瘫，扑通一声，坐在一块石头上。\n    沉香向前，索要开山钥匙，他只得命天将取来。沉香一看，原来是一柄闪闪发光的月牙斧。沉香提着月牙斧， “娘啊!娘啊!”从北峰喊到南峰，从南峰又喊到东峰，这边叫那边应。 
18	\n    “奶奶，我真的很丑吗？为什么他们都叫我丑八怪？他们都不和我玩儿，我很难过，奶奶，我该怎么办？”\n    “别，别，别过来！…………爹！娘！你们醒醒，你们醒醒啊！奶奶……奶奶，你们不要睡了，醒醒啊！呜呜呜呜呜呜呜”\n    “我奶奶说了，我是世界上最漂亮的，是她的宝贝。”\n    “奶奶，他们是谁啊？怎么手上拿着刀，我好害怕……我的胭脂盒！你们这群坏蛋，那是奶奶给我的胭脂盒。”
