ProfessionID	CraftID	RecipeID	IconID	Quality	Name	Desc
0	0	0	0	0	None	None
5	9	81	1383	1	鹅黄绣（护手）	<Text>text="<ENCHANT 1>\\\n" font=105 </text><text>text="采用的绣线色如小鹅身上的绒毛，色鲜而不刺眼。"font=106 </text>
5	9	82	1384	1	净白绣（护手）	<Text>text="<ENCHANT 18>\\\n" font=105 </text><text>text="色白而不生硬，纯净如初出的莲花。富有飘逸感。"font=106 </text>
5	9	83	1385	1	蓝叶绣（护手）	<Text>text="<ENCHANT 25>\\\n" font=105 </text><text>text="上绣蓝色大片叶片，张扬奔放。较常见。"font=106 </text>
5	9	84	1388	1	鹅黄染（腰带）	<Text>text="<ENCHANT 2>\\\n" font=105 </text><text>text="鹅黄色浸泡的普通材料制作而成。"font=106 </text>
5	9	85	1389	1	净白染（腰带）	<Text>text="<ENCHANT 19>\\\n" font=105 </text><text>text="用硫黄熏蒸漂白的方法染成。很普遍。"font=106 </text>
5	9	86	1390	1	蓝叶染（腰带）	<Text>text="<ENCHANT 26>\\\n" font=105 </text><text>text="从蓝草中提取靛蓝染成。"font=106 </text>
5	9	90	1386	2	妃红绣（护手）	<Text>text="<ENCHANT 8>\\\n" font=105 </text><text>text="“一骑红尘妃子笑”，绣线之色如妃子笑面的那抹红晕。"font=106 </text>
5	9	91	1387	2	煤黑绣（护手）	<Text>text="<ENCHANT 13>\\\n" font=105 </text><text>text="从栎树中提取汁液，反复浸染数遍而成，色亮深沉。"font=106 </text>
5	9	92	1391	2	妃红染（腰带）	<Text>text="<ENCHANT 9>\\\n" font=105 </text><text>text="用稀释的染料轻染，色如妃子笑面的一抹红晕。"font=106 </text>
5	9	93	1392	2	煤黑染（腰带）	<Text>text="<ENCHANT 14>\\\n" font=105 </text><text>text="浸染数次而成，色彩浓郁、有透气感、不压抑。"font=106 </text>
5	9	109	1387	1	煤黑绣（头部）	<Text>text="<ENCHANT 15>\\\n" font=105 </text><text>text="据传绣线是用三足乌身上的羽毛制成，在太阳下可发出金属光泽。"font=106 </text>
5	9	110	1384	2	净白绣（头部）	<Text>text="<ENCHANT 20>\\\n" font=105 </text><text>text="用兔子耳后的绒毛制作而成。即使在鞋面上绣双层也柔软无比。"font=106 </text>
