ID	Character
0	
1	哀
2	安
3	庵
4	暗
5	敖
6	傲
7	奥
8	跋
9	罢
10	柏
11	卑
12	悲
13	备
14	惫
15	彼
16	辟
17	弊
18	壁
19	波
20	钵
21	帛
22	泊
23	勃
24	铂
25	补
26	布
27	步
28	部
29	埠
30	材
31	沧
32	苍
33	藏
34	册
35	策
36	拆
37	嗔
38	尘
39	沉
40	辰
41	晨
42	成
43	呈
44	承
45	澄
46	痴
47	迟
48	持
49	耻
50	斥
51	绸
52	愁
53	初
54	雏
55	杵
56	础
57	储
58	楚
59	褚
60	触
61	词
62	祠
63	茨
64	茨
65	瓷
66	慈
67	辞
68	此
69	刺
70	赐
71	徂
72	措
73	搭
74	达
75	沓
76	答
77	得
78	堤
79	狄
80	荻
81	地
82	递
83	谛
84	督
85	椟
86	犊
87	笃
88	度
89	渡
90	镀
91	厄
92	恩
93	罚
94	斐
95	佛
96	否
97	夫
98	服
99	茯
100	符
101	福
102	甫
103	府
104	付
105	负
106	附
107	复
108	副
109	富
110	赋
111	腹
112	戈
113	阁
114	革
115	恭
116	估
117	孤
118	孤
119	沽
120	古
121	股
122	固
123	故
124	雇
125	国
126	海
127	寒
128	何
129	洪
130	侯
131	护
132	荒
133	慌
134	黄
135	晃
136	击
137	机
138	基
139	及
140	极
141	急
142	集
143	记
144	季
145	寄
146	敬
147	居
148	狙
149	驹
150	局
151	桔
152	举
153	矩
154	具
155	剧
156	据
157	聚
158	瞿
159	咔
160	咖
161	喀
162	卡
163	慨
164	楷
165	坷
166	苛
167	柯
168	珂
169	科
170	可
171	渴
172	克
173	客
174	嗑
175	枯
176	哭
177	窟
178	骷
179	苦
180	库
181	酷
182	蜡
183	来
184	乐
185	勒
186	勒
187	雷
188	垒
189	磊
190	肋
191	厘
192	离
193	莉
194	黎
195	礼
196	理
197	裏
198	力
199	厉
200	立
201	吏
202	丽
203	利
204	沥
205	例
206	栗
207	粒
208	蕯
209	露
210	露
211	卢
212	庐
213	芦
214	炉
215	陆
216	录
217	鹿
218	禄
219	璐
220	驴
221	侣
222	旅
223	铝
224	屡
225	缕
226	律
227	虑
228	率
229	峦
230	栾
231	鸾
232	銮
233	乱
234	咪
235	弥
236	谜
237	糜
238	靡
239	秘
240	幂
241	蜜
242	描
243	眇
244	秒
245	缈
246	妙
247	庙
248	谟
249	摩
250	磨
251	末
252	沫
253	陌
254	莫
255	漠
256	墨
257	默
258	牟
259	谋
260	某
261	牡
262	拇
263	目
264	沐
265	牧
266	苜
267	幕
268	睦
269	慕
270	暮
271	穆
272	纳
273	衲
274	乃
275	奈
276	耐
277	妮
278	尼
279	倪
280	霓
281	逆
282	匿
283	捏
284	涅
285	聂
286	孽
287	驽
288	伮
289	努
290	怒
291	诺
292	啪
293	葩
294	耙
295	攀
296	盘
297	盼
298	裴
299	沛
300	佩
301	疲
302	脾
303	匹
304	癖
305	偏
306	坡
307	泼
308	颇
309	迫
310	洦
311	珀
312	破
313	粕
314	魄
315	菩
316	朴
317	戚
318	期
319	欺
320	祁
321	齐
322	齐
323	其
324	其
325	奇
326	骑
327	棋
328	琦
329	琪
330	祺
331	麒
332	乞
333	企
334	启
335	起
336	绮
337	迄
338	弃
339	器
340	器
341	丘
342	区
343	曲
344	驱
345	屈
346	祛
347	趋
348	佢
349	渠
350	取
351	趣
352	柔
353	如
354	茹
355	儒
356	孺
357	汝
358	入
359	洳
360	褥
361	闰
362	润
363	若
364	飒
365	塞
366	啬
367	啬
368	瑟
369	善
370	舍
371	失
372	时
373	世
374	守
375	寿
376	舒
377	署
378	束
379	述
380	树
381	司
382	私
383	思
384	斯
385	撕
386	寺
387	伺
388	饲
389	嗣
390	肆
391	苏
392	俗
393	夙
394	诉
395	肃
396	素
397	速
398	宿
399	粟
400	塑
401	隨
402	岁
403	遂
404	穗
405	娑
406	蓑
407	索
408	塌
409	塔
410	榻
411	踏
412	态
413	泰
414	剔
415	提
416	提
417	缇
418	题
419	涕
420	替
421	天
422	迢
423	眺
424	秃
425	徒
426	涂
427	途
428	娲
429	佤
430	袜
431	威
432	唯
433	卫
434	卫
435	闻
436	我
437	沃
438	乌
439	邬
440	巫
441	无
442	吴
443	吾
444	唔
445	梧
446	午
447	伍
448	坞
449	武
450	舞
451	勿
452	务
453	戊
454	物
455	误
456	悟
457	夕
458	兮
459	希
460	昔
461	析
462	息
463	惜
464	稀
465	溪
466	熙
467	习
468	席
469	玺
470	喜
471	胥
472	须
473	虚
474	需
475	旭
476	序
477	叙
478	恤
479	绪
480	续
481	蓄
482	玄
483	鸦
484	崖
485	涯
486	雅
487	亚
488	央
489	阳
490	杨
491	耶
492	冶
493	野
494	业
495	叶
496	曳
497	烨
498	伊
499	衣
500	仪
501	宜
502	已
503	以
504	义
505	艺
506	亦
507	屹
508	易
509	益
510	逸
511	毅
512	翼
513	盈
514	于
515	予
516	俞
517	与
518	宇
519	羽
520	雨
521	玉
522	预
523	域
524	欲
525	遇
526	圆
527	则
528	择
529	泽
530	责
531	斋
532	折
533	知
534	志
535	质
536	致
537	智
538	众
539	诸
540	著
541	兹
542	姿
543	资
544	滋
545	尊
