ID	Name	BarText
0	默认	
1	遗体	
2	快速消失遗体	
3	农具架	
4	农具架	
5	竹笋 	采集
6	刀	拾取
7	枪	拾取
8	棍	拾取
9	布娃娃	拾取
10	草叉	拾取
11	凝血草	采集
12	麦穗	拾取
13	箭矢用木材	拾取
14	木材	拾取
15	干材堆	拾取
16	血衣	拾取
17	水井	水井
18	小箱子	打开
19	土堆	打开
20	野菜	采集
21	粮草	拾取
22	稻香村告示	
23	路标	
24	稻香村	
25	任务表现火	
26	忠义亭	
27	稻山野林	
28	小镜湖	
29	稻香神树	
30	兰若寺	
31	武场	
34	茶树	采集
35	会及	采集
36	茶菇	拾取
37	弦枫的遗体	
38	醉鱼草	采集
39	蓝实	采集
40	幽绿土壤	挖掘
41	竹枝	拾取
42	硝石	拾取
43	木炭	拾取
44	白轩藏画	查看
47	白轩之作	拾取
48	颜真卿藏字	
51	猴儿酒	
52	甑子	
53	杵臼	使用
54	纹银茶碾	使用
55	装着水的碗	
56	滚着沸水的风炉	
57	钟乳石	
58	上锁的木盒	打开
59	一沓纸	
60	白纸（案台）	
61	面袋	拾取
62	刀	
63	桃子	拾取
64	木锨	拾取
65	青鱼石	拾取
66	灵猴宝藏	拾取
67	朱丹果	采集
68	案台	习字
69	冷紫参	采集
70	七情菇	摧毁
71	吊桥控制机关(峰嶂)	摧毁
72	吊桥控制机关(霞景)	摧毁
73	吊桥控制机关(寒雨)	摧毁
74	吊桥控制机关(纤麟)	摧毁
75	蕴藏毒液的机关	拆解
76	玉佩碎片	拾取
77	圆石堆	埋藏
78	包铜的木箱	
79	遗书	
80	密藏的书信	拾取
81	龟溺	拾取
82	切磋用旗帜	
83	碧玉潭	
84	落星湖	
85	万花山门	
86	天机阁图部	
87	藏药楼	
88	紫竹门	查看
89	青木桥	
90	天工阁	
91	流云瀑	
92	盘虬梯	
93	赏星居	
94	药王阁	
95	岚天梯	
96	觅星殿	
97	邀月梯	
98	岚天台	
99	聋哑村	
100	水月宫	
101	摘星楼	
102	仙迹岩	
103	千机阁	
104	拟星台	
105	凌云梯	
106	路标	
124	土堆	
126	红耳菇	采摘
128	血印石	擦拭
129	泥陶娃娃	拾取
130	竹枝笔杆	拾取
131	干燥树枝	拾取
132	燃烧的物资	
133	装有兵符的木盒	打开
134	烧焦的干草堆	寻找
135	青笋	采摘
136	矮树桩	劈开
137	劈开的木柴	拾取
