BookID	SegmentID	BookItemIndex	BookNumber	Sort	SubSort	Type	BookName	SegmentName	Desc	PageNum	PageID_0	PageID_1	PageID_2	PageID_3	PageID_4	PageID_5	PageID_6	PageID_7	PageID_8	PageID_9
0	0	3001	1	3	1	1	未知书籍		None	0	0	0	0	0	0	0	0	0	0	0
2	1	2858	2	2	1	1	沉香劈山	沉香劈山上篇	沉香救母之传说。	6	6	7	8	9	10	11				
2	2	3001	2	2	1	1	沉香劈山	沉香劈山下篇	沉香救母之传说。	7	12	13	14	15	16	17	440			
3	1	3528	1	3	3	1	毒尸若兰	毒尸若兰	若兰之故事。	3	18	19	20							
4	1	3529	2	3	3	1	万花茶典	万花茶典上篇	万花谷造茶秘术。	3	26	27	28							
4	2	5486	2	3	3	1	万花茶典	万花茶典下篇	万花谷造茶秘术。	2	29	30								
5	1	3526	8	3	1	1	太公家教	太公家教第一章	传为姜太公留下的启蒙之学。	2	31	32								
5	2	3528	8	3	1	1	太公家教	太公家教第二章	传为姜太公留下的启蒙之学。	2	33	34								
5	3	3526	8	3	1	1	太公家教	太公家教第三章	传为姜太公留下的启蒙之学。	2	35	36								
5	4	2858	8	3	1	1	太公家教	太公家教第四章	传为姜太公留下的启蒙之学。	2	37	38								
5	5	3001	8	3	1	1	太公家教	太公家教第五章	传为姜太公留下的启蒙之学。	2	1476	1477								
5	6	3001	8	3	1	1	太公家教	太公家教第六章	传为姜太公留下的启蒙之学。	2	1478	1479								
5	7	2858	8	3	1	1	太公家教	太公家教第七章	传为姜太公留下的启蒙之学。	2	1480	1481								
5	8	3001	8	3	1	1	太公家教	太公家教第八章	传为姜太公留下的启蒙之学。	2	1482	1483								
6	1	3001	3	3	1	2	古诗十九首辑录	古诗十九首上	乐府古诗，年代久远。	6	39	40	41	42	43	44				
6	2	3528	3	3	1	2	古诗十九首辑录	古诗十九首中	乐府古诗，年代久远。	6	45	46	47	48	49	50				
6	3	3001	3	3	1	2	古诗十九首辑录	古诗十九首下	乐府古诗，年代久远。	7	51	52	53	54	55	56	57			
7	1	3528	5	3	1	2	千字文	千字文第一章	梁朝周兴嗣所编之启蒙书。	2	1484	1485								
7	2	3001	5	3	1	2	千字文	千字文第二章	梁朝周兴嗣所编之启蒙书。	2	1486	1487								
7	3	2858	5	3	1	2	千字文	千字文第三章	梁朝周兴嗣所编之启蒙书。	2	1488	1489								
7	4	3001	5	3	1	2	千字文	千字文第四章	梁朝周兴嗣所编之启蒙书。	3	1490	1491	1492							
