ID	Level	TypeID	SkillID	IconID	Name	Desc
0	0	0	0	0	测试	测试
1	1	0	55	0	Test	测试
3	1	0	0	0	测试	测试
4	1	0	0	0	测试	测试
10	1	2	356	1825	《坐忘经·返本归元》注解残页	施展招式的消耗降低20%。
11	1	2	356	1825	《坐忘经·返本归元》注解断篇	施展招式的消耗降低20%。
12	1	2	356	1825	《坐忘经·返本归元》注解绝章	施展招式的消耗降低20%。
13	1	9	356	1832	《坐忘经·返本归元》真传残页	招式的有效距离增加2尺。
14	1	9	356	1832	《坐忘经·返本归元》真传断篇	招式的有效距离增加2尺。
15	1	9	356	1832	《坐忘经·返本归元》真传绝章	招式的有效距离增加2尺。
16	1	8	356	1831	《坐忘经·返本归元》人偶图残页	能卸除额外一个阳性伤害状态。
17	1	8	356	1831	《坐忘经·返本归元》人偶图断篇	能卸除额外一个阳性伤害状态。
18	1	8	356	1831	《坐忘经·返本归元》人偶图绝章	招式立刻恢复一定气血值。
19	1	5	301	1828	《北冥剑气·两仪化形》秘诀残页	会心提高2%。
20	1	5	301	1828	《北冥剑气·两仪化形》秘诀断篇	会心提高3%。
21	1	5	301	1828	《北冥剑气·两仪化形》秘诀绝章	会心提高4%。
22	1	7	301	1830	《北冥剑气·两仪化形》详解残页	命中提高1%。
23	1	7	301	1830	《北冥剑气·两仪化形》详解断篇	命中提高2%。
24	1	6	301	1829	《北冥剑气·两仪化形》参悟残页	招式伤害提高3%。
25	1	6	301	1829	《北冥剑气·两仪化形》参悟断篇	招式伤害提高4%。
26	1	6	301	1829	《北冥剑气·两仪化形》参悟绝章	招式伤害提高5%。
27	1	8	301	1831	《北冥剑气·两仪化形》人偶图残页	命中目标则续气半格。
28	1	3	361	1826	《纯阳诀·凌太虚》经脉图残页	运功时间减少0.125秒。
29	1	3	361	1826	《纯阳诀·凌太虚》经脉图断篇	运功时间减少0.125秒。
30	1	3	361	1826	《纯阳诀·凌太虚》经脉图绝章	运功时间减少0.125秒。
31	1	2	361	1825	《纯阳诀·凌太虚》注解残页	施展招式的消耗降低20%。
32	1	2	361	1825	《纯阳诀·凌太虚》注解断篇	施展招式的消耗降低30%。
33	1	2	361	1825	《纯阳诀·凌太虚》注解绝章	施展招式的消耗降低40%。
34	1	9	361	1832	《纯阳诀·凌太虚》真传残页	招式的有效距离增加1尺。
35	1	9	361	1832	《纯阳诀·凌太虚》真传断篇	招式的有效距离增加1尺。
36	1	9	361	1832	《纯阳诀·凌太虚》真传绝章	招式的有效距离增加1尺。
37	1	1	355	1824	《坐忘经·凭虚御风》穴位图残页	调息时间减少5秒。
38	1	1	355	1824	《坐忘经·凭虚御风》穴位图断篇	调息时间减少10秒。
39	1	1	355	1824	《坐忘经·凭虚御风》穴位图绝章	调息时间减少15秒。
40	1	2	355	1825	《坐忘经·凭虚御风》注解残页	施展招式的消耗降低20%。
41	1	2	355	1825	《坐忘经·凭虚御风》注解断篇	施展招式的消耗降低30%。
42	1	2	355	1825	《坐忘经·凭虚御风》注解绝章	施展招式的消耗降低40%。
43	1	10	355	1833	《坐忘经·凭虚御风》手抄断篇	招式附加效果持续时间增加3秒。
44	1	8	355	1831	《坐忘经·凭虚御风》人偶图残页	招式附加跑速提高，持续5秒。
45	1	8	355	1831	《坐忘经·凭虚御风》人偶图断篇	能卸除额外一个混元性伤害状态。
46	1	3	359	1826	《纯阳诀·破苍穹》经脉图残页	运功时间减少0.125秒。
47	1	3	359	1826	《纯阳诀·破苍穹》经脉图断篇	运功时间减少0.125秒。
48	1	3	359	1826	《纯阳诀·破苍穹》经脉图绝章	运功时间减少0.125秒。
49	1	2	359	1825	《纯阳诀·破苍穹》注解残页	施展招式的消耗降低20%。
50	1	2	359	1825	《纯阳诀·破苍穹》注解断篇	施展招式的消耗降低30%。
51	1	2	359	1825	《纯阳诀·破苍穹》注解绝章	施展招式的消耗降低40%。
52	1	9	359	1832	《纯阳诀·破苍穹》真传残页	招式的有效距离增加1尺。
53	1	9	359	1832	《纯阳诀·破苍穹》真传断篇	招式的有效距离增加1尺。
54	1	9	359	1832	《纯阳诀·破苍穹》真传绝章	招式的有效距离增加1尺。
55	1	1	588	1824	《天道剑势·人剑合一》穴位图残页	调息时间减少2秒。
56	1	1	588	1824	《天道剑势·人剑合一》穴位图断篇	调息时间减少3秒。
57	1	9	588	1832	《天道剑势·人剑合一》真传残页	招式的有效距离增加1尺。
58	1	9	588	1832	《天道剑势·人剑合一》真传断篇	招式的有效距离增加1尺。
59	1	9	588	1832	《天道剑势·人剑合一》真传绝章	招式的有效距离增加1尺。
60	1	6	588	1829	《天道剑势·人剑合一》参悟残页	招式伤害提高40%。
61	1	6	588	1829	《天道剑势·人剑合一》参悟断篇	招式伤害提高60%。
62	1	8	588	1831	《天道剑势·人剑合一》人偶图残页	招式附加额外的持续伤害，持续12秒。
63	1	8	905	1831	《天道剑势·人剑合一》人偶图断篇	回复气血效果提高100%。
64	1	1	364	1824	《天道剑势·三环套月》穴位图残页	调息时间减少0.5秒。
65	1	5	364	1828	《天道剑势·三环套月》秘诀残页	会心提高2%。
66	1	5	364	1828	《天道剑势·三环套月》秘诀断篇	会心提高3%。
67	1	5	364	1828	《天道剑势·三环套月》秘诀绝章	会心提高4%。
68	1	7	364	1830	《天道剑势·三环套月》详解残页	命中提高1%。
69	1	7	364	1830	《天道剑势·三环套月》详解断篇	命中提高2%。
70	1	6	364	1829	《天道剑势·三环套月》参悟残页	招式伤害提高3%。
71	1	6	364	1829	《天道剑势·三环套月》参悟断篇	招式伤害提高4%。
72	1	6	364	1829	《天道剑势·三环套月》参悟绝章	招式伤害提高5%。
73	1	3	358	1826	《纯阳诀·生太极》经脉图残页	运功时间减少0.125秒。
74	1	3	358	1826	《纯阳诀·生太极》经脉图断篇	运功时间减少0.125秒。
75	1	3	358	1826	《纯阳诀·生太极》经脉图绝章	运功时间减少0.125秒。
76	1	2	358	1825	《纯阳诀·生太极》注解残页	施展招式的消耗降低20%。
77	1	2	358	1825	《纯阳诀·生太极》注解断篇	施展招式的消耗降低30%。
78	1	2	358	1825	《纯阳诀·生太极》注解绝章	施展招式的消耗降低40%。
79	1	9	358	1832	《纯阳诀·生太极》真传残页	招式的有效距离增加1尺。
80	1	9	358	1832	《纯阳诀·生太极》真传断篇	招式的有效距离增加1尺。
81	1	9	358	1832	《纯阳诀·生太极》真传绝章	招式的有效距离增加1尺。
82	1	3	367	1826	《北冥剑气·四象轮回》经脉图残页	运功时间减少0.25秒。
83	1	3	367	1826	《北冥剑气·四象轮回》经脉图断篇	运功时间减少0.25秒。
84	1	5	367	1828	《北冥剑气·四象轮回》秘诀残页	会心提高2%。
85	1	5	367	1828	《北冥剑气·四象轮回》秘诀断篇	会心提高3%。
86	1	5	367	1828	《北冥剑气·四象轮回》秘诀绝章	会心提高4%。
87	1	9	367	1832	《北冥剑气·四象轮回》真传残页	招式的有效距离增加1尺。
88	1	9	367	1832	《北冥剑气·四象轮回》真传断篇	招式的有效距离增加1尺。
89	1	9	367	1832	《北冥剑气·四象轮回》真传绝章	招式的有效距离增加1尺。
90	1	8	367	1831	《北冥剑气·四象轮回》人偶图残页	招式的减速效果提高10%。
91	1	2	306	1825	《北冥剑气·太极无极》注解残页	施展招式的消耗降低30%。
92	1	5	306	1828	《北冥剑气·太极无极》秘诀残页	会心提高2%。
93	1	5	306	1828	《北冥剑气·太极无极》秘诀断篇	会心提高3%。
94	1	5	306	1828	《北冥剑气·太极无极》秘诀绝章	会心提高4%。
95	1	7	306	1830	《北冥剑气·太极无极》详解残页	命中提高1%。
96	1	7	306	1830	《北冥剑气·太极无极》详解断篇	命中提高2%。
97	1	6	306	1829	《北冥剑气·太极无极》参悟残页	招式伤害提高15%。
98	1	6	306	1829	《北冥剑气·太极无极》参悟断篇	招式伤害提高15%。
99	1	6	306	1829	《北冥剑气·太极无极》参悟绝章	招式伤害提高20%。
100	1	5	365	1828	《天道剑势·无我无剑》秘诀残页	会心提高2%。
101	1	5	365	1828	《天道剑势·无我无剑》秘诀断篇	会心提高3%。
102	1	5	365	1828	《天道剑势·无我无剑》秘诀绝章	会心提高4%。
103	1	7	365	1830	《天道剑势·无我无剑》详解残页	命中提高1%。
104	1	7	365	1830	《天道剑势·无我无剑》详解断篇	命中提高2%。
105	1	6	365	1829	《天道剑势·无我无剑》参悟残页	招式伤害提高3%。
106	1	6	365	1829	《天道剑势·无我无剑》参悟断篇	招式伤害提高4%。
107	1	6	365	1829	《天道剑势·无我无剑》参悟绝章	招式伤害提高5%。
108	1	8	365	1831	《天道剑势·无我无剑》人偶图残页	命中目标则续气半格。
109	1	1	312	1824	《坐忘经·坐忘无我》穴位图残页	调息时间减少2秒。
110	1	1	312	1824	《坐忘经·坐忘无我》穴位图断篇	调息时间减少4秒。
111	1	2	312	1825	《坐忘经·坐忘无我》注解残页	施展招式的消耗降低20%。
112	1	2	312	1825	《坐忘经·坐忘无我》注解断篇	施展招式的消耗降低25%。
113	1	2	312	1825	《坐忘经·坐忘无我》注解绝章	施展招式的消耗降低30%。
114	1	1	312	1824	《坐忘经·坐忘无我》穴位图绝章	调息时间减少6秒。
115	1	8	312	1831	《坐忘经·坐忘无我》人偶图残页	化解伤害提高50点。
116	1	8	312	1831	《坐忘经·坐忘无我》人偶图断篇	招式立刻恢复一定内力值。
117	1	8	312	1831	《坐忘经·坐忘无我》人偶图绝章	招式立刻恢复一定气血值。
118	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图残页	调息时间减少0.5秒。
119	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图断篇	调息时间减少0.7秒。
120	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图绝章	调息时间减少0.8秒。
