ID	TurnToFight_Text_1	TurnToFight_Text_2	TurnToFight_Text_3	Death_Text_1	Death_Text_2	Death_Text_3	TeammateDeath_Text_1	TeammateDeath_Text_2	TeammateDeath_Text_3	Idle_Text_1	Idle_Text_2	Idle_Text_3	Custom_Text_1	Custom_Text_2	Custom_Text_3	TurnToIdle_Text_1	TurnToIdle_Text_2	TurnToIdle_Text_3	KillEnemy_Text_1	KillEnemy_Text_2	KillEnemy_Text_3	Escape_Text_1	Escape_Text_2	Escape_Text_3
0																								
1	莫非你活得不耐烦了，跑出来找死？			我不想死啊...救命！			竟敢偷袭我们！			0						好家伙，给我等着！								
2	又一个来送死的	兄弟们给我上	这次你就别想跑了	没想到你还有两下子……	小子算你狠，我大哥不会放过你的！哇……														不自量力，哈哈			弟兄们给我顶住，我去叫帮手！		
3										瞧一瞧看一看啊，新到的各式杂货，什么都有了。														
4	你们是什么人！你们要做什么！	救命啊！		啊……																				
5										月晕而风，础润而雨，看来要变天了。	十五年一劫，谁也逃不掉。													
6																								
7																								
8										昔之善战者，先为不可胜，以待敌之可胜。	师傅……我该怎么办？	善守者，藏于九地之下。善攻者，动于九天之上。												
9										我不知道我不知道……	看不出你还这么有耐心，我就告诉你实话吧……实话就是我什么都不知道。													
10										这些小孩子都跑到哪里去了？														
11																								
12	你不怕死吗？	连我也敢惹，你也不打听打听我是谁！	受死吧！！！	十二连环坞会为我报仇的……你要为你今天做的付出代价！															这种三脚猫功夫也敢来惹我，回去娘胎里再练几年吧，哈哈哈哈。					
13	保护好将军。									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
14										打劫！	天下风云，不正如这棋局吗？	哈哈，乌有老鬼，这局你输定了！												
15										哎呀，棋差一招啊！	对弈在于心而不在于棋！													
16										最近谷内的信件多了起来。	师弟，又要给家里寄信啊！													
17										哎哟......哎哟......	救命啊！有人来帮帮我吗？													
18										我还是最喜欢在这里俯看情昼海	呵呵，这里可以看到裴师伯的小屋呢！	师兄，你要经常陪雪卿来这里看风景哦！												
19										师妹，时候不早了，我们回去吧。	情昼海之美，实非言语所能表达！	师妹，看那！可以隐约看到摘星楼呢！												
20										阿甘，把钳木机关器给我。	机关之术除了精巧实用，亦重外观修饰。													
21										噶机......噶机......嘎嘎......														
22										等我眼睛好了，就又可以看见相公了！	治好了眼睛，一定和相公回寇岛！	孙老先生真是能起死回生的神仙啊！												
23										用笔习字，用竿钓鱼，其实道理都是一样的。														
24										要做好吃的，还是得靠这本《九羊神功》！	南疆之菜果然与中原大不相同，真想好好学学。													
25										千杯醉不倒......嗝，唯我酒中仙......嗝！	以酒醉，当然以酒解醉！世人无知，不知唯酒能解酒也！													
26	想救这个和尚，没那么容易！	这和尚把我弄疯了，干脆杀了你们！																						
27	敢在爷面前撒野，看我不灭了你！																							
28	哇哈哈，就让大爷我陪你好好玩玩！																							
29	见我者，死！																							
30	本姑娘要你求生不得，求死不能！																							
31	无知鼠辈，看姑奶奶的剑！																							
32										这地方风景倒也不错，和万花比起来别有一番风味。	那些山贼？要不是出来时白师父严禁参与这些事……我都告诉他我可以的啦，真是的！													
33																								
34										少来烦我，真是的，气死我了，为什么我是哥哥还要听弟弟的命令？														
35										养猪好好的，要我扎什么稻草人！														
36										红尘多冤孽，切不可让徒儿迷途难返。														
37																								
38	呜呜!	好痛！娘！	100																					
39	唔！																							
40	别小瞧人，我们不是只会钻洞！	你死了，你死了！得罪地鼠门，睡着时留意床下！																						
41	你们这些蠢货，有外人跑进来了！																							
42	蝙蝠帮！蝙蝠帮！	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！																						
43	随处可见的落叶让我想起了老家，在这个时候打扰我要付出性命的代价！																							
44	嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷！！！																							
45	留下买路钱，可以饶你一死！	人也要！钱也要！																						
46	五百两！今天胡某已经进账五百两！嗯？你是送银子的么？																							
47	这荒山野岭的也能碰上活人呀！																							
48	坟墓里都有着千奇百怪的故事，你这样的人是不会明白的！																							
49	莫看叫杨不言，其实姐姐很好说话的。																							
50	什么？你能听懂蜈蚣语？这是缘分啊！看来有些事咱要和你好好研究一下了。																							
51																								
52																								
53	什么人？	神策军封道，闲杂人等速速退避！																						
54	又有送过路费的来了！																							
55	口令！	什么人！																						
56																								
57	安心上路吧！			还没赚够啊！																				
58	你走错地方了!																							
59	你将成为我手下新鲜的尸人士兵。			啊，回不了家了！																				
60	这里是军事禁区！	放箭！																						
61	冲啊！																							
62	我在这里呆得太久，是该活动一下了！																							
63	你已经死了！																							
64	小心，有人杀进来了！																							
65	这城里也不安宁了！																							
66	给我冲！																							
67	行迹败露，只好杀人灭口了。																							
68	是谁！			啊，娘！																				
69	地鼠门弟子，冲上去！																							
70	你走路的声音太大了！																							
71	拿钱出来！																							
72	我要报仇。																							
73	为了实现复国的梦想!			做鬼也……饶不了你啊！																				
74	伙食这么差，我都没力气砍杀了！																							
75																								
76	圣教主在看着我！																							
77	大神在上！																							
78	死吧！异教徒！																							
79	有人闯入！																							
80	我右手持剑，左手有盾，既然来了，就留在飞仙山上吧！																							
81	没想到红衣教会找教外人帮忙，上当了！																							
82	美貌的小姑娘哪里去了！																							
83	你的身上会插满箭！死的就像个刺猬！																							
84	是谁出卖我们！																							
85	擅闯军营者死！			我还有事要做！																				
86	你是要向我挑战么，那些失败者都变成了我收藏的头骨！																							
87	公孙家不是只有个老头子和几个侍女书童么，你是谁？																							
88	哈哈，没有高超武功却身怀神兵，这已是死罪了！																							
89	休想通过！																							
90	护卫大人！																							
91																								
92										月晕而风，础润而雨，看来要变天了。	十五年一劫，谁也逃不掉。													
93	快过去，我看到又有人闯进来了！			呃，不可能！																				
94	别妄想阻止我！			我制毒的大业！																				
95	两天没吃的了！			不用……再……挨饿了吧……																				
96	你死定了！																							
97	死吧死吧！																							
98										丘秋那孩子真可怜，看着她一天比一天憔悴。哎……如今却还没打听到任何消息。	父亲，如果您还在世该多好，便可以告诉孩儿什么叫做爱了。那样子，多少也能为丘秋分担点吧。	问世间情为何物，直教人生死相许？												
99	为了实现复国的梦想，尝尝我的快刀吧。																							
100										早知道少林没好东西就不来了。	不过这个盒子还不错，挺精致的。													
101																								
102										平外必先安内，一定要把洛风那群叛徒赶出纯阳！	祁师叔说的对，谁知道洛风那群叛徒狼子野心，会对纯阳做出什么事情？不如先下手为强。													
103										师兄，大家都是同门一脉，相煎何太急呢？	洛风他们已经够可怜了，不要再逼他们了。													
104	你死定了！	这一刀下去一定很痛快！																						
105	你如何知晓当年之事？！																							
106	巴哈！你的鼻子最近不太灵便了！																							
107	看来我被人发现了！																							
108	你找错对手了！我是专门干这行的！																							
109	你是怎么找到这里来的？是谁给了你消息！																							
110	来，试试我的箭术有没有进步！																							
111																								
112	别靠近营帐！！																							
113	我们是精锐中的精锐！																							
114	来吧！成败是非，只在转念之间，此役若成，万某岂非功在千秋！									万花仙谷，与世隔绝，进出都靠这凌云梯。	凌云悬梯，天下奇绝，万花之门户也	工圣奇技，天下一绝												
115	有贼人！																							
116	我好似未曾见过你！哪里来的小贼？																							
117	有敌来犯!																							
118	有人闯营！																							
119	你看不见我，你看不见我！	你没有机会！																						
120	你喜欢被埋葬在哪里？																							
121	我要杀了你！！			娘，孩儿对不住您！您保重			娘！娘！你不能丢下孩儿！我要杀了你！																	
122	孩儿快走，娘亲在这挡他！			孩子……莫要再报仇了！	孩子，放过那些和尚吧！不要再报仇了。		孩儿，我的孩儿。你，你为什么要杀死他！			听娘的话，不要再杀和尚了，和娘回恶人谷，咱们娘俩在谷里平平淡淡地过日子。														
123																								
124	有人来挑衅我们了！																							
125																								
126	何人如此大胆？																							
127	是谁要杀我？																							
128																								
129																								
130																								
131	来者必死！			飞雪！我不能保护你了！你要活下去！																				
132										不知是何门派？	好功夫！打得好！哈哈！													
133										好！好！真是好功夫！	中原兄真是有本事，如此别出心裁的比武，真让人大开眼界！													
134										好！好！耍得好！														
135	这位仁兄，小弟得罪了！			阁下果然好功夫！												承让！								
136	看招！			哈哈！你赢了！												看来阁下有所保留啊！								
137										哇~~武功好好噢！														
138										大哥哥大姐姐，买点菜吧！新鲜的蔬菜！	新鲜的蔬菜，买点吧！可便宜了！													
139										子曰：学而不思则罔，思而不学则殆！温故而知新，可以为师矣！	子曰：由！诲女知之乎！知之为知之，不知为不知，是知也。													
140										炎炎夏日，匆匆赶路的你，不妨停下尝尝我们茶铺新推出的冰红茶。冰冰凉凉，清清爽爽！二姑冰红茶，好喝你就喝！	客官路过歇歇脚！二姑新制冰红茶，冰力十足，能量无穷！													
141										哇哈哈！你追不到我，追不到我！	嘻嘻，追上我就给你了。快跑呀！													
142										不要跑那么快嘛！等等我！	你是坏人！我要告诉妈妈！	你作弊！作弊！												
143										阿弥陀佛！佛曰：种如是因，收如是果，一切唯心造。	佛曰：命由己造，相由心生，世间万物皆是化相。	佛曰：心不动，万物皆不动。心不变，万物皆不变。												
144										两个笨蛋，跑来跑去的有什么好玩的！	唉！没人陪我玩儿……只有打球球的时候，大家才在一起玩了。													
145	0			哼！我还会再回来的！你这阴险的小人！	啊哈！果然就是你偷了我昆仑的《寒冰诀》！我还会夺回来的！																			
146	哈！又一个自己送上门的小子！			我与你有何相干！为何无缘无故来搞我！																				
147	我恨你！我恨你们！			孟康，你在哪里？																				
148	让你见识见识爷的厉害。			小子，功夫不错……			竟敢偷袭我们！			0						好家伙，给我等着！			回去好好练练！			风紧，扯乎！		
149	不知死活的东西！	爷正有气没处撒呢！		等着吧，总会有人来收拾你的。			竟敢偷袭我们！			0						好家伙，给我等着！			回去好好练练！			风紧，扯乎！		
150	好久没拿人出气了，让军爷我开心开心。			原来你不是软柿子……			竟敢偷袭我们！			0						好家伙，给我等着！			回去好好练练！			风紧，扯乎！		
151	咱不但会打洞，还会打人！	刚偷学了几招，嘿嘿，咱们试试！	地鼠地鼠，神威勇武！冲啊！	哎……大意了……	我……我不想死……		竟敢偷袭我们！			0						好家伙，给我等着！			回去好好练练！			风紧，扯乎！		
152	让爷来好好搜搜！哈哈哈！	把银子都拿出来！	冲啊！抢啊！	死可以，别拿我银子！	要是拿了我银子，我做鬼也不会放过你的……		竟敢偷袭我们！			0						好家伙，给我等着！			哈哈哈哈哈！			风紧，扯乎！		
153																								
154	凭什么赶我们走！	有人来赶我们了！我打死你这坏人！																						
155										老秃驴！总有一天，我反过来欺负你！等着吧！哼！我要把你那些勾当告诉方丈！														
156	太宗院不经方丈同意任何人都不准入内！闲杂人等速速离开！	好大胆子！谁许你擅闯太宗院了！																						
157	你们是什么人?竟敢来到这里！			秋儿……我的命运就到这里了吗……															蝼蚁尚且贪生，你们这是何苦？					
158	不知死活的家伙们，就让爷爷我来送你们上路吧！			……大哥！华大哥快走！他们是来找你的！															哈哈哈哈，比捏死蚂蚁还简单。					
159	来人！来人啊！			熊……熊熊圣火……唯我……光明……															哈哈哈哈，谁也不能妨碍我的计划。					
160	来吧！成败是非，只在转念之间，此役若成，万某岂非功在千秋！																							
161										哈哈，这可是高难度的游戏，只有聪明人可以过关！	我是个可爱的小方士，嘻嘻													
162	来啊！你们这些不知死活的家伙！			大哥！华大哥快走！他们是来找你的！												哈哈哈哈，比捏死蚂蚁还简单。			躲开躲开！大爷我来了！	这么快就干掉了一个！				
163	来人！来人啊！	让你们见识一下邪恶的力量！		熊……熊圣火……唯我……光明……												哈哈哈哈，谁也不能妨碍我的计划！			就凭这点本事也敢来阻挠我！	哈哈！看我把你们碾成门口的灰尘！				
164	你们是什么人?竟敢来到这里！	卤莽的行为将会让你们万劫不复！		秋儿……就到这里了吗……												蝼蚁尚且贪生，你们这是何苦？			这是必然的结果！					
165	哈哈！小心了！			好功夫啊！咱们再来，我定要赢你！												唔？我看你未使出十分力气来跟我打吧！								
166	得罪了！			果然好功夫！我小看你了。												不小心赢了你，不好意思！								
167	那小娘子还想把酒要回去？																							
168	谁也别想夺走碧落杯！																							
169	谁在那里！																							
170	哼！既看到我，就留你不得！			看样子我没法完成自己的使命了……			竟敢偷袭我们！			0						好家伙，给我等着！			哈哈哈哈哈！			风紧，扯乎！		
171	军爷我闷的慌，就陪你这小兔崽子玩玩！	嘿嘿，你跑不掉了！		啊呀呀，你……你个小兔崽子……			竟敢偷袭我们！			0						果然是兔崽子，跑的这么快！			哈哈哈哈哈！			风紧，扯乎！		
172	你知道的太多，就让我送你一程吧。			不可能！我怎么可能败在一个无名小卒手里？			竟敢偷袭我们！			0						好家伙，给我等着！			安心的去吧，哈哈哈哈哈！			风紧，扯乎！		
