NodeID	Level	Name	Desc
0	0		
0	1	招贤纳士	一重：帮会可招收帮众上限至80人。
0	2	招贤纳士	二重：帮会可招收帮众上限至110人。
0	3	招贤纳士	三重：帮会可招收帮众上限至140人。
0	4	招贤纳士	四重：帮会可招收帮众上限至170人。
0	5	招贤纳士	五重：帮会可招收帮众上限至200人。
0	6	招贤纳士	六重：帮会可招收帮众上限至230人。
0	7	招贤纳士	七重：帮会可招收帮众上限至250人。
1	1	封官拜将	一重：帮会组织结构层额外增加二个帮会头衔。
1	2	封官拜将	二重：帮会组织结构层额外增加二个帮会头衔。
1	3	封官拜将	三重：帮会组织结构层额外增加二个帮会头衔。
1	4	封官拜将	四重：帮会组织结构层额外增加二个帮会头衔。
1	5	封官拜将	五重：帮会组织结构层额外增加二个帮会头衔。
2	1	藏珍坊	一重：启动一级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，一级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。
3	1	圣手坊	一重：启动一级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，一级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。
4	1	阵营铁卫	一重：增加阵营日常和攻防战任务奖励5%。
4	2	阵营铁卫	二重：增加阵营日常和攻防战任务奖励10%。
4	3	阵营铁卫	三重：增加阵营日常和攻防战任务奖励15%。
4	4	阵营铁卫	四重：增加阵营日常和攻防战任务奖励20%。
5	1	积少成多	一重：增加80级以下的随机帮会日常至二个。
5	2	积少成多	二重：增加80级以下的随机帮会日常至三个。
5	3	积少成多	三重：增加80级以下的随机帮会日常至四个。
6	1	周而复始	一重：帮会每周随机发布一个10人秘境悬赏任务。
6	2	周而复始	二重：帮会每周发布一个阵营攻防战任务。
6	3	周而复始	三重：帮会每周随机发布一个25人秘境悬赏任务。
6	4	周而复始	四重：帮会每周随机发布一个对立阵营首领击杀任务。
7	1	白手起家	一重：帮会仓库上限增加到两个。
7	2	白手起家	二重：帮会仓库上限增加到三个。
7	3	白手起家	三重：帮会仓库上限增加到四个。
8	1	年年有余	一重：帮会仓库上限增加到五个。
8	2	年年有余	二重：帮会仓库上限增加到六个。
8	3	年年有余	三重：帮会仓库上限增加到七个。
8	4	年年有余	四重：帮会仓库上限增加到八个。
9	1	隐宝阁	一重：启动二级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，二级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。
10	1	神工阁	一重：启动二级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，二级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。
11	1	多彩多色	一重：增加帮会匾额样式三个：忠义堂、会武阁、群英阁。
11	2	多彩多色	二重：增加帮会匾额样式三个：忠烈堂、聚贤阁、傲义堂。
11	3	多彩多色	三重：增加帮会匾额样式三个：凌云堂、山海阁、海天阁。
12	1	美轮美奂	一重：增加帮会旗帜样式三个：一统江湖、千秋万代、雄霸江湖，提供一定属性加成。
12	2	美轮美奂	二重：增加帮会旗帜样式三个：义薄云天、泰山北斗、独步江湖，提供一定属性加成。
12	3	美轮美奂	三重：增加帮会旗帜样式二个：天下无敌，武林至尊，提供一定属性加成。
13	1	吃遍天下	一重：增加一个帮会食堂烹饪产出，鸡肉菜盘，声望获得速度大幅度提高。
13	2	吃遍天下	二重：增加第二个帮会食堂烹饪产出，美酒佳酿，威望获得速度提高大幅度提高。
13	3	吃遍天下	三重：增加第三个帮会食堂烹饪产出，南瓜盅菜盘，帮贡获得速度大幅度提高。
13	4	吃遍天下	四重：增加第四个帮会食堂烹饪产出，蒸鱼菜盘，招式命中几率提高，无双值提高。
13	5	吃遍天下	五重：增加第五个帮会食堂烹饪产出，肘子菜盘，最大气血值提高，最大内力值提高。
14	1	物美价廉	一重：增加帮众成员打包帮会食物个数一个。
14	2	物美价廉	二重：增加帮众成员打包帮会食物个数二个。
14	3	物美价廉	三重：增加帮众成员打包帮会食物个数三个。
15	1	玉华玄宫	一重：启动三级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，三级帮会工房商店开启。建筑升级完成后才能继续升级后面的天工树节点。
16	1	天机宝殿	一重：启动三级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，三级帮会丹房商店开启。建筑升级完成后才能继续升级后面的天工树节点。
17	1	仙人指路	一重：开启帮会祈愿台，允许每周和韩非子对话获得瑰石一块。在秘境中使用瑰石将会使秘境首领被击杀时，额外掉落石头上显示的装备。
17	2	仙人指路	二重：开启帮会祈愿台，允许每周和韩非子对话获得瑰石三块。在秘境中使用瑰石将会使秘境首领被击杀时，额外掉落石头上显示的装备。
17	3	仙人指路	三重：开启帮会祈愿台，允许每周和韩非子对话获得瑰石五块。在秘境中使用瑰石将会使秘境首领被击杀时，额外掉落石头上显示的装备。
18	1	事半功倍	一重：完成所有帮会任务额外奖励5%发展点。
18	2	事半功倍	二重：完成所有帮会任务额外奖励10%发展点。
18	3	事半功倍	三重：完成所有帮会任务额外奖励20%发展点。
19	1	富贵勿相忘	一重：帮主可发放工资在帮会资金中的占比增加3%。
19	2	富贵勿相忘	二重：帮主可发放工资在帮会资金中的占比增加6%。
19	3	富贵勿相忘	三重：帮主可发放工资在帮会资金中的占比增加10%。
20	1	小猪快跑	一重：帮会家园帮主找丁三石开启帮会赶猪活动。
21	1	步步生莲	一重：帮会花盆商处出售普通产量的花盆。
21	2	步步生莲	二重：帮会花盆商处出售1.5倍产量的花盆。需要天工树主干藏珍房或圣手坊建设完成。
21	3	步步生莲	三重：帮会花盆商处出售2倍产量的花盆。需要天工树主干隐宝阁或神工阁建设完成。
22	1	锦天绣地	一重：帮会家园土地打开五级土地上限。
23	1	奇珍异宝	一重：开出帮会宝物商店第一层。
23	2	奇珍异宝	二重：开出帮会宝物商店第二层。
23	3	奇珍异宝	三重：开出帮会宝物商店第三层。需要天工树主干藏珍房和圣手房建设完成。
24	1	春华秋实	一重：种子商处出售一个五级种子。
24	2	春华秋实	二重：种子商处出售二个五级种子。
24	3	春华秋实	三重：种子商处出售三个五级种子。
25	1	兴家立业	一重：增加帮会工房建设任务奖励的30%。
25	2	兴家立业	二重：增加工房建设任务奖励的50%。
25	3	兴家立业	三重：增加工房建设任务奖励的100%。
26	1	五谷丰登	一重：帮会家园农作物上交获得的帮会发展点和帮贡提高30%。
