ID	Name	Details	Achievements
0			
1	杂闻	1,2,3,4,5,6,7,8,9,10,11,12,13	1096
2	武学	14,15,16,17,18,19,20,21,22,23,24	68,69,70,71,72,1365,703,91
3	修为	25,26,27,28	127
4	装备	29,30,31,32,33,34,35,36,37,38,39,40,41,42	
5	技艺	43,44,45,46,47,48,49,50,51,52,53	216,217,302,750,2333,312,318
6	阅读	55,56,57,58	366,2272
7	任务	59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91	381,385,1920
8	足迹	92,93,94,95	573,576,440,444,454,491
9	战斗	97,98,99,100,102,103,104,105	169,793,811,195,1231,1507
10	声望	106,107,108,109	515,502,2445,814,516,517
11	秘境	111,112,113,114,115,116,117,118,119,120	1801,519,518,1987,2431,520,2442,1135,2437,2443,2441,2440,2426
12	帮会	121,122,123,124,125	
13	阵营	126,127,128,129,130	
14	突破	131,134,135	959,962,963
15	节日	136,137,138,139,140,141,142	
16	活动	143,144,145,146,147,148,149	
17	风雨江湖路	150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168	
18	杂闻	169,170	
19	修为	171,172	
20	技艺	173	
22	任务	176	
23	足迹	177,178	
24	战斗	179,180,181,182,183	
25	声望	184,185,186,187	
26	秘境	188,189,190	
27	装备	191	
28	阵营	192,193,194	
29	突破	195,198,199	
30	个人江湖排名	200,201,202,203,204,205	
31	浩气盟帮会江湖排名	206,207,208	
32	恶人谷帮会江湖排名	209,210,211	
34	名剑大会江湖排名	213,214,215	
