ID	GeneratedBase	GeneratedMagic	PreviewBase	PreviewMagic
atInvalid				
atActiveThreatCoefficient		<text>text="招式产生威胁{D1>0?提高~D1/1024*100#1:降低~D1/(-1024)*100#1}%" font=105 </text>		<text>text="招式产生威胁{D3>0?提高~D3/1024*100#1:降低~D3/(-1024)*100#1}%" font=105 </text>
atAddSprintPowerMax		<text>text="气力值上限提高{D0/100}点" font=105 </text>		
atAddSprintPowerRevive		<text>text="气力值每秒恢复速度提高{D0/20*3}点" font=105 </text>		
atAddSprintPowerCost		<text>text="气力值每秒消耗速度降低{-D0/19*3}点" font=105 </text>		
atAdjustProfessionLevel		<text>text="烹饪技艺等级提高{D1}级" font=106 </text>		<text>text="烹饪技艺等级提高{D1=D2?D1:D1~\-~D2}级" font=106 </text>
atAgilityBase		<text>text="身法+{D0}" font=106 </text>		<text>text="身法+{D0=D1?D0:D0~\-~D1}" font=106 </text>
atAllTypeHitValue		<text>text="全命中等级提高{D0}" font=105 </text>		
atAllTypeCriticalStrike		<text>text="全会心等级提高{D0}" font=105 </text>		
atAllTypeCriticalDamagePowerBase		<text>text="全会心效果等级提高{D0}" font=105 </text>		
atBasePotentialAdd		<text>text="全属性提高{D0}点" font=106 </text>		<text>text="全属性提高{D0=D1?D0:D0~\-~D1}点" font=106 </text>
atCurrentLife		<text>text="恢复当前气血{D0}" font=105 </text>		<text>text="恢复当前气血{D0=D1?D0:D0~\-~D1}" font=105 </text>
atCurrentMana		<text>text="恢复当前内力{D0}" font=105 </text>		<text>text="恢复当前内力{D0=D1?D0:D0~\-~D1}" font=105 </text>
atCurrentStamina		<text>text="恢复当前体力{D0}" font=105 </text>		<text>text="恢复当前体力{D0=D1?D0:D0~\-~D1}" font=105 </text>
atDamageToLifeForSelf		<text>text="击中敌人后，偷取敌人所受伤害的{D0}%的气血" font=105 </text>		<text>text="击中敌人后，偷取敌人所受伤害的{D0=D1?D0:D0~\-~D1}%的气血" font=105 </text>
atDamageToManaForSelf		<text>text="击中敌人后，偷取敌人所受伤害的{D0}成的内力" font=105 </text>		<text>text="击中敌人后，偷取敌人所受伤害的{D0=D1?D0:D0~\-~D1}成的内力" font=105 </text>
atDecriticalDamagePowerBase		<text>text="化劲等级提高{D0}" font=105 </text>		<text>text="化劲等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atDecriticalDamagePowerPercent		<text>text="化劲等级修正值提高{D0}" font=105 </text>		<text>text="化劲等级修正值提高提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atDivingFrameBase		<text>text="水下呼吸时间提高{D0/16}秒" font=105 </text>		
atDodge		<text>text="闪避等级提高{D0}" font=105 </text>		<text>text="闪避等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atDropDefence		<text>text="抗摔系数提高{D0}点" font=105 </text>		
atLifeReplenishExt		<text>text="每秒气血恢复提升{D0}" font=105 </text>		<text>text="每秒气血恢复提升{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLifeReplenishPercent		<text>text="每秒气血恢复提升{D0}成" font=105 </text>		<text>text="每秒气血恢复提升{D0=D1?D0:D0~\-~D1}成" font=105 </text>
atLunarAttackPowerBase		<text>text="阴性内功攻击增加{D0}" font=105 </text>		<text>text="阴性内功攻击增加{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarCriticalDamagePowerBase		<text>text="阴性内功会心效果等级提高{D0}" font=105 </text>		<text>text="阴性内功会心效果等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarCriticalDamagePowerPercent		<text>text="阴性内功会心效果等级修正值提高{D0}" font=105 </text>		<text>text="阴性内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarCriticalStrike		<text>text="阴性内功会心等级提高{D0}" font=105 </text>		<text>text="阴性内功会心等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarCriticalStrikeBaseRate		<text>text="阴性内功会心几率提高{D0/100}%" font=105 </text>		<text>text="阴性内功会心几率提高{D0=D1?D0/100:D0/100~\-~D1/100}%" font=105 </text>
atLunarHitValue		<text>text="阴性内功命中等级提高{D0}" font=105 </text>		<text>text="阴性内功命中等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarMagicShieldBase		<text>text="阴性内功防御等级提高{D0}" font=105 </text>		<text>text="阴性内功防御等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atLunarOvercomeBase		<text>text="阴性内功破防等级提高{D0}" font=105 </text>		<text>text="阴性内功破防等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
atMagicAttackPowerBase		<text>text="内功攻击提高{D0}点" font=105 </text>		<text>text="内功攻击提高{D0=D1?D0:D0~\-~D1}点" font=105 </text>
atMagicCriticalDamagePowerBase		<text>text="内功会心效果等级提高{D0}" font=105 </text>		<text>text="内功会心效果等级提高{D0=D1?D0:D0~\-~D1}" font=105 </text>
