PointID	Type	X	Y	Scale	Alpha	Red	Green	Blue	Param1	Param2	Param3
1	1	-148	56	1	200	100	20	200	30	0	0
2	1	-100	150	2	150	180	140	150	40	0	0
3	1	0	200	4	200	180	200	150	20	0	0
4	1	87	15	1	200	150	140	200	30	0	0
5	3	429	111	2	200	180	140	140	20	0.15000000596046	0
6	2	211	79	2	180	200	200	200	80	40	0
7	2	300	300	2	200	180	200	150	20	30	0
8	1	230	13	2	220	180	140	150	50	0	0
9	2	223	-148	2	200	180	140	200	20	20	0
10	2	251	-196	2	150	150	140	150	20	30	0
11	3	402	-409	2	200	180	180	200	20	0.30000001192093	0
12	2	410	-60	2	180	140	140	200	20	0	0
13	1	389	-4	2	200	180	140	200	50	0	0
14	1	-211	-269	2	180	180	150	150	50	0	0
15	2	-414	-231	2	200	140	180	200	20	20	0
16	1	291	-282	2	200	180	140	200	50	0	0
17	2	-439	-72	2	160	255	255	255	20	40	0
18	1	-406	24	2	160	255	255	255	50	0	0
