TabID	Name	Title	Image1	Note1	Image2	Note2	Image3	Note3	Description
0									
1	新手镇	恭喜你到达新手镇，现在你可以接触到更多的内容了！	ui\Image\Helper\洛阳地图.tga	风雨镇在洛阳城的东南边。虽不是很富庶，但镇民自力更生，也能丰衣足食。然而当地一霸宋南天横行霸道、鱼肉乡里，众人也是敢怒不敢言。	ui\Image\Helper\扬州地图.tga	地地道道的江南水乡，本清幽无虑，但不知为何竟会有许多倭寇驻扎到了镇西大片的林地中，使得镇子周围不如以前那么平静了。	ui\Image\Helper\长安地图.tga	天都镇本是一个富庶的镇子，但一场无名瘟疫的横行，使得一些镇民随着赶来施药的红衣教教众一起，搬到了镇西的红衣教营地中。	
2	武学	武学训练师可以教你更多功夫，不妨看看。	ui\Image\Helper\武学.tga	找到新手武学训练师，他将教予你江湖轻功“蹑云逐月”的第二重。\n新手武学训练师 <L 1>	ui\Image\Helper\六派指引.tga	在长安、扬州和洛阳的镇里侠士们可以自己所选择门派的门派接引人。查看接引人位置，需要在新手镇中哦。\n少林武学训练师 <L 2>\n万花武学训练师 <L 3>\n七秀武学训练师 <L 4>\n	ui\Image\Helper\五毒唐门指引.tga	纯阳武学训练师 <L 5>\n天策武学训练师 <L 6>\n藏剑武学训练师 <L 69>\n五毒武学训练师 <L 104>\n唐门武学训练师 <L 137>	
3	问路	如何找到你想找的人？如果去到你想去的地方？	ui\Image\Helper\长安指引.tga	按“M”打开大地图，点击右手边的列表，大地图上标出绿点表示你所查询的位置。\n大地图 <P MiddleMap>	ui\Image\Helper\司南.tga	点击小地图上的司南按钮，可在小地图上显示出部分功能NPC的位置。	ui\Image\Helper\守卫.tga	点击守卫对话，可以询问大部分功能NPC的位置。询问后打开大地图，绿点表示你所查询的位置。\n守卫 <L 16>	
5	仓库信使	仓库总管与信使可以为你带来更多的便利。	ui\Image\Helper\仓库.tga	您可以从各大城镇的任意一位仓库总管处存储物品，而在别处的仓库总管处也能取出。\n仓库总管 <L 14>	ui\Image\Helper\信使.tga	在各大城镇都能找到大唐邮政的信使，邮寄的信件将在半小时后抵达你的好友处。\n信使 <L 15>			仓库总管：\n        仓库总管可以为你保管物品。像背包一样，仓库也有包裹位，你可以通过开启新的包裹位来扩充你的仓库容量。\n \n信使：\n        在信使处，你可以收取其他人寄给你的信件，同样，他也可以替你发送信件、物品、金钱给其他人。
6	加入少林	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\少林接引.tga	1.通过与新手镇的少林接引人对话，可以被送至少林驿站。\n少林接引人 <L 2>\n需在新手镇才可查看位置。	ui\Image\Helper\少林入门.tga	2.沿着山路进入少林山门，找到澄理就可加入少林了。\n少林 澄理 <L 43>			少林：\n        少林武学讲究以禅入武，禅武结合。招式大开大阖，稳重而不迟滞，一招一式之间无不充斥佛光普照之意，修行到后期更可将气劲运于全身，金刚护体，即便被打中，对手也会受到极大损伤，可谓常立于不败之地。
7	加入万花	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\万花接引.tga	1.通过与新手镇的万花接引人对话，可以被送至万花驿站。\n万花接引人 <L 3>\n需在新手镇才可查看位置。	ui\Image\Helper\万花入门.tga	2.登上三星望月第二层，找到孙思邈就可以加入万花了。\n万花 孙思邈 <L 44>			万花：\n        万花武学最精妙之处乃是点穴截脉，可控人生死于一线。通过将精湛医术与点穴手法结合起来，既可为伙伴疗伤续命，稳定战局，也可挺身而出，用精妙手法制敌控场，实乃掌控全局第一武学。
8	加入七秀	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\七秀接引.tga	1.通过与新手镇的七秀接引人对话，可以被送至七秀码头。\n七秀接引人 <L 4>\n需在新手镇才可查看位置。	ui\Image\Helper\七秀入门.tga	2.在忆盈楼找到叶芷青，就可以加入七秀了。\n七秀 叶芷青 <L 45>			七秀：\n        七秀作为纯女性门派，招式华丽而不繁琐，曼华绝伦的舞姿当中暗藏种种玄机，或者弱敌于无形之处，或者助友于转瞬之间，眼花缭乱让人防不胜防，常常能在出人意料之时决定战局的倾覆。
9	加入纯阳	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\纯阳接引.tga	1.通过与新手镇的纯阳接引人对话，可以被送至纯阳驿站。\n纯阳接引人 <L 5>\n需在新手镇才可查看位置。	ui\Image\Helper\纯阳入门.tga	2.在纯阳宫找到李忘生，就可以加入纯阳了。\n纯阳 李忘生 <L 46>			纯阳：\n        纯阳武学融合了道家真谛，万法自然，随心所欲之间不但可将自身内力如意运转，更可用自身能力构造出一片太极气场，攻守如一，进退自如。随他敌强敌弱，顺其自然，自以不变应万变。
10	加入天策	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\天策接引.tga	1.通过与新手镇的天策接引人对话，可以被送至天策驿站。\n天策接引人 <L 6>\n需在新手镇才可查看位置。	ui\Image\Helper\天策入门.tga	2.在天策府找到李承恩，就可以加入天策了。\n天策 李承恩 <L 47>			天策：\n        天策武学不同于其他武林门派，天策武功往往直接由战争中的技击演化而来，实用性极强，招招致命，没有一丁点花哨之处。再配合天策府独有的兵书阵法和马上战斗，进退自如，威力惊人，霸道无比。
11	少林骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\少林地图.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n少林马商位置 <L 48>	ui\Image\Helper\少林马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
12	万花骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\万花地图.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n万花马商位置 <L 49>	ui\Image\Helper\万花马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
13	七秀骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\七秀地图.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n七秀马商位置 <L 50>	ui\Image\Helper\七秀马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
14	纯阳骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\纯阳地图.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n纯阳马商位置 <L 51>	ui\Image\Helper\纯阳马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
15	天策骑术	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\天策地图.tga	1.你可以在门派里找到马商，花10金的价格购买一匹马。\n天策马商位置 <L 52>\n	ui\Image\Helper\天策马商.tga	2.在马商处购得马匹后，按"B"打开背包，右键点击图标来装备马匹。使用"T"便可上马。	ui\Image\Helper\坐骑.tga	3.按"C"打开人物属性界面，在分页里可以看到坐骑界面。\n马匹界面 <P characterPanel/Ride>	
16	四大脉络	恭喜你达到12级，现在你可以修习经脉了。	ui\Image\Helper\任脉督脉.tga	任脉为基础，可提高疗伤成效、角色属性、移动速度等能力。而督脉为辅助，可提高闪躲、防御、招架等能力。侠士们在10级时便可率先修习任脉。当等级升至15级时方可修习督脉、冲脉及带脉。	ui\Image\Helper\带脉冲脉.tga	带脉提高外功能力，适合天策、藏剑、太虚纯阳、唐门修习；冲脉提高内功能力，适合七秀、少林、万花、五毒及紫霞纯阳修习。			四大脉络：\n        经脉以任、督、带、冲四大主脉为本，任脉主基础能力，督脉主辅助能力，此二脉适合所有门派修习且其中疗伤系穴位适合云裳七秀和离经万花修习。带脉主外功能力，冲脉主内功能力。合理修习则潜能将被发挥至极限。
17	奇穴	恭喜你达到12级，现在你可以修习经脉了！	ui\Image\Helper\奇穴.tga	奇穴共有10个，分别对应不同的脉络分支，且提高角色不同的能力。每个奇穴均有10重，可根据自身的需求进行修习。	ui\Image\Helper\奇穴永久存在.tga	奇穴不受洗筋伐脉的影响，打通后便永久存在。			奇穴：\n        奇穴共有10个穴位，打通某一穴位，必先连通对应的经脉穴位方可。奇穴每个穴位均有10重，重数越高则获得的效果加成越大，且不受洗筋伐脉的影响，打通后便永久存在。
18	气海丹田	恭喜你达到12级，现在你可以修习经脉了！	ui\Image\Helper\经脉气海.tga	气海：显示目前可用的修为量，和可储存的量。\n丹田：修为汇聚归总之处，最多可有十万。\n功力：点穴后会获得一定的功力值。	ui\Image\Helper\穴位展示.tga	任脉中某些特定的穴位需要功力达到一定水平才可施放，且使用将会消耗一定的修为。			气海丹田：\n        经脉气海乃为修为存储之处，丹田乃修为汇聚归总之地。每个角色最多可使用10万点修为来修习经脉。大成者，则功力高强，武学达深不可测之境。
26	加入浩气盟	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\天歌道长.tga	1.在浩气盟闻道草堂找到天歌道长，接取任务［长空令下斩雄娘］。\n浩气盟 天歌道长 <L 67>	ui\Image\Helper\谢渊.tga	2.完成这一系列任务后即可找到谢渊，选择是否进入浩气盟。			浩气盟：\n        中原武林内部纷争不断、犹如散沙，外有邪派强敌压境、危机四伏，天枢谢渊带领浩气七星和众热血豪侠，意欲力挽狂澜，为武林正道浴血奋战！\n        浩气盟既非门派，也非帮会，所以没有门户之见，也不会有势力之争，只是联合各派英豪，以求群策群力，剑指苍穹，扬天下之浩然正气！
27	加入恶人谷	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\大头.tga	1.在恶人谷入口找到大头，接取任务［石舂主人］。\n恶人谷 大头 <L 68>	ui\Image\Helper\王遗风.tga	2.完成这一系列任务后即可找到王遗风，选择是否进入恶人谷。			恶人谷：\n        武林向来纷争诸多，正邪难辨，随着收容之人越来越多，雪魔王遗风带领的恶人谷势力一发不可收拾，已成江湖最大势力之一。他们不求一统江湖之类的虚幻目的，只求随心所欲，自由自在！\n        投身恶人谷，便要挣脱俗世束缚，或从此云淡风清，隐遁谷中俯瞰天下纷争，或从此刀光剑影，携书弹剑夜话风雨江湖。
28	介绍	恭喜你到达新手镇，现在你可以接触到更多的内容了！	ui\Image\Helper\文字10级.tga						新手镇：\n        新手镇是三大主城（长安、洛阳、扬州）附近的小城镇，是你踏入江湖的起点。\n        侠士在查看各NPC位置时，需在新手镇才可查看到确认位置哦。
29	介绍	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\文字15级3.TGA						八大门派：\n      八大门派师出名门，各有千秋，一旦拜入师门则不可半途退出。
