MapID	ClassID	MinLevel	FitMinLevel	FitMaxLevel	Layer3Name	OtherName	VersionName	EnterWay	BossInfo	Introduction	Tutorial	HelpImage	HelpText
0	0	0	0	0									
14	1	28	32	39	5人普通	灵霄峡	风起稻香	少林西北	射云 虎啸 华鹤炎	<text>text="阴谋阳谋神策密谋，达摩洞前惊现秘道。" font=162</text>			
17	1	21	25	30	5人普通	天工坊	风起稻香	万花谷西南	方季常 平三指 震天甲士	<text>text="司徒一一自造机甲，天工坊中蓬莱作乱。" font=162</text>			
18	1	36	39	45	5人普通	无盐岛	风起稻香	七秀仙乐码头	罗翼 常万山 钱宗龙 杜姬欣	<text>text="无盐寨中藏污纳垢，七秀叛徒身首异处。" font=162</text>			
19	1	22	24	29	5人普通	空雾峰	风起稻香	纯阳东北	冯度 王彦直 鬼影小次郎	<text>text="神策军困纯阳道士，小次郎斩天诛之剑。" font=162</text>			
20	1	20	24	29	5人普通	天地三才阵	风起稻香	天策北	人熊 邓文峰 商仲永	<text>text="商仲永布此三才阵，朱剑秋手刃叛徒子。" font=162</text>			
26	1	44	48	55	5人普通	荻花宫前山	风起稻香	枫华谷南	阿里曼监查使 阿里曼入教主祭司 卫栖梧 沙利亚	<text>text="红衣祸乱中原武林，侠盗痴心人皮书情。" font=162</text>			
28	1	44	48	55	5人普通	日轮山城	风起稻香	寇岛西北	上衫勇刀 雾影奈叶、猿飞菖蒲 源明雅 八歧大蛇	<text>text="日轮山城月黑风高，忍者术师鬼没神出。" font=162</text>			
32	3	70	70	70	10人普通	战宝迦兰	风起稻香	洛阳北部，武牢关西南方向，按M打开洛阳地图可看到“战宝迦兰”字样的地方便是。	王海银 朱癸 平等 掌火 智慧&镇恶 风火云三使	<text>text="贞观二十二年，师子光借助叛臣阿罗顺那的实力建起一座规模宏大的寺庙，名为“战宝迦兰”，自称“菩提会”，实为针对大唐的秘密组织。\\\n　　长寿三年，师子光逝世，弟子摩提耶罗继承了他的职位，此时菩提会已变成宗教狂热分子的集中所在。菩提会弟子疯狂地想要夺回甚至不惜摧毁唐朝寺院所收藏的天竺经书。摩提耶罗派遣十二宝树王中的数位支援中土，更希望中土弟子能与其他势力联合，互相辅助达成目的。\\\n　　天宝五年，杨国忠为削弱与李氏天策府交好的少林，与菩提会合作。菩提会终于在中土有了属于自己的寺院，他们将这座位于洛阳的寺院取名为“战宝迦兰”以纪念天竺总教，人称他们为“天竺迦兰僧”。" font=162</text>			
33	1	54	58	62	5人普通	天子峰	风起稻香	南屏山中	柳随风 孙敬萧 李尧 玄悲 陌香 方宇谦	<text>text="叛臣贼子盘踞天子，东海侠客密寻剑谱。" font=162</text>			
34	1	44	48	55	5人普通	风雨稻香村	风起稻香	新手镇车夫	殷不为 肖童 刘大海 秦雷 狼牙夜幕刺客	<text>text="十年路长重聚稻香，昔日孩童已成少年。" font=162</text>			
36	2	70	70	70	5人英雄	天地三才阵	风起稻香	天策北	范霸 赵天龙 朴宗资	<text>text="连环坞强占三才阵，朴宗资踞此造机箭。" font=162</text>			
37	2	70	70	70	5人英雄	天工坊	风起稻香	万花谷西南	煞灵魔尸 塔玛 司徒一一	<text>text="天一邪教毒染天工，司徒一一灰飞烟灭。" font=162</text>			
40	2	70	70	70	5人英雄	荻花宫前山	风起稻香	枫华谷南	阿里曼监察使 阿里曼入教主祭司 卫栖梧 沙利亚	<text>text="红衣教圣火熄不灭，沙利亚又召祭司使。" font=162</text>			
41	2	70	70	70	5人英雄	无盐岛	风起稻香	七秀仙乐码头	罗翼 庞虎文 杨心羽	<text>text="神策旧部心狠手辣，七秀弟子身陷囹圄。" font=162</text>			
42	2	70	70	70	5人英雄	天子峰	风起稻香	南屏山中		<text>text="当年剑圣与方乾相约于天子峰一比高下，最后在天子峰之巅的决战中方乾败给了剑圣半招。方乾虽然战败，但败得并不甘心，固在天子峰的绝壁之上刻下了自己对剑圣武功的破解之法，以此来证明并不是自己技不如人，更希望能有后人学会自己的武功来打败剑圣，以雪前耻（非真相，江湖传闻的表面现象）。\\\n　　虽事隔多年，但当年二人比武所留下的痕迹仍清晰可见，固引来无数江湖人士聚集在天子峰之上研习武学，希望能从这些遗迹中参透得一招半式上乘武学。相近的出生却有着天差地别的命运，方鹤影虽为方乾的兄弟，但无论资质和处境都比方乾差很多。在方乾的耀眼光芒下，从小到大方家中人就没有人注意方鹤影，在这样的环境下逐渐形成了方鹤影扭曲的人格和对方乾的敌视。\\\n　　直到后来方鹤影钟情的女子方碧玲硬是被方家的长辈许配给方乾，却又被方乾抛弃，方鹤影已无法按捺心中的仇恨，为报复方家中人，方鹤影先后鼓动了万花聋哑村的暴乱和司徒一一的报复行为。可惜都没有成功。在当年方鹤影死后，天子峰再也没人看守。为了实现自己称霸武林的野心，方鹤影暗中藏在天子峰巅研习方乾当日留下的剑术，打算功成之日，再去找方家中人报复。" font=162</text>			
43	2	70	70	70	5人英雄	空雾峰	风起稻香	纯阳东北	夕罗双 鬼影千华、藤原樱奈 梅剑雄	<text>text="阴阳杀阵暗藏玄机，梅氏叛徒重返中原。" font=162</text>			
44	2	70	70	70	5人英雄	日轮山城	风起稻香	寇岛西北	尸灵武者 谢云流 野村一郎 服部胧藏	<text>text="倭寇贼心至今不死，剑魔终现日轮山城。" font=162</text>			
45	2	70	70	70	5人英雄	灵霄峡	风起稻香	少林西北	慧钟 千叶佛像 天竺藏经盒	<text>text="天竺僧人暗藏秘宝，千叶佛像矗立灵霄。" font=162</text>			
46	3	70	70	70	25人英雄	战宝迦兰	风起稻香	洛阳北部，武牢关西南方向，按M打开大地图可看到“战宝迦兰”字样便是秘境的入口位置。同时需在头像列表中选择“高级”模式	王海银 朱癸 平等 掌火 智慧&镇恶 风火云三使	<text>text="贞观二十二年，师子光借助叛臣阿罗顺那的实力建起一座规模宏大的寺庙，名为“战宝迦兰”，自称“菩提会”，实为针对大唐的秘密组织。\\\n　　长寿三年，师子光逝世，弟子摩提耶罗继承了他的职位，此时菩提会已变成宗教狂热分子的集中所在。菩提会弟子疯狂地想要夺回甚至不惜摧毁唐朝寺院所收藏的天竺经书。摩提耶罗派遣十二宝树王中的数位支援中土，更希望中土弟子能与其他势力联合，互相辅助达成目的。\\\n　　天宝五年，杨国忠为削弱与李氏天策府交好的少林，与菩提会合作。菩提会终于在中土有了属于自己的寺院，他们将这座位于洛阳的寺院取名为“战宝迦兰”以纪念天竺总教，人称他们为“天竺迦兰僧”。" font=162</text>			
47	2	70	70	70	5人英雄	风雨稻香村	风起稻香	龙门荒漠李复	卢元霸 齐宗强 肖红 汪莽	<text>text="梦回稻香再绎纷乱，鬼谋千智却有一失。" font=162</text>			
51	1	14	18	23	5人普通	剑冢	风起稻香	藏剑剑冢	叶芳致 叶无心 叶琦菲	<text>text="紫薇剑剑气冲云霄，君子风风过四季谷。" font=162</text>			
