classid	subclassid	classtitle	question	answer
0	0			
0	1		问题1	
1	0	名词解释		
1	1		PVE是指什么?	指与游戏中固有敌对怪物的战斗，多指游戏中打怪、挑战秘境和挑战首领的活动。
1	2		PVP是指什么?	游戏中玩家与玩家的对战和竞技，多指PK、战场等。
1	3		游戏经常有TC、CY、JC、CJ、QX、WH、HH等缩写，是指什么？	这些是门派的拼音缩写：\nTC：天策；CY：纯阳；CJ：藏剑；QX或7X：七秀；HS：和尚，即少林；WH或HH：万花；
1	4		FB是指什么？	FB是副本的拼音缩写，指游戏中的秘境。
1	5		CD是指什么？	多指武功招式的调息时间，也指秘境的重置间隔时间。
1	6		经常看到XX秘境来个T或MT，这个T和MT具体是指什么？	坦克的英文缩写，多指挑战秘境时能够抗住boss的职业，代表职业：少林和天策。
1	7		DPS是指什么？	即输出，一般指攻击职业，代表职业：纯阳，藏剑，花间万花，冰心七秀。
1	8		仇恨是指什么？	每个怪物都会有仇恨列表，而仇恨的高低就决定了怪物攻击的目标，仇恨越高，越容易受到怪的攻击。一般来说：在副本内MT需要不断的增加自己的威胁值，而治疗和DPS则需要降低威胁值。
1	9		OT是指什么？	指怪物对DPS或治疗的仇恨超过了对T的仇恨。OT容易引起团灭。
1	10		团灭是什么意思？	即队伍内所有的人都重伤。
1	11		AOE是什么意思？	范围攻击，即群攻。
1	12		DOT是什么意思？	即持续性伤害。
1	13		Buff是指什么？	即释放在玩家或关系友好NPC身上的增益效果：如清心静气、撼如雷。
1	14		Debuff是指什么?	即负面效果，不利效果，会削弱自身属性或受到伤害。
1	15		HOT是指什么？	即持续的治疗效果。
2	0	队伍/团队		
2	1		一个队伍能有多少人？一个团队能有多少人？	一个队伍的人数为2人以上、5人以下;一个团队的任务为2人以上，25人以下。
2	2		如何和自己附近的玩家组队？	右键点击附近玩家的小头像，在弹出框中选择“组队”即可发送组队请求，对方在“接受”组队请求后，对方就能加入您的队伍。如果对方已经有队伍，并且人数没有满，那么你就可以加入到对方的队伍中。
2	3		如何和自己的好友组队？	打开“社交列表”，鼠标右键点击好友栏中的好友，在弹出框中选择“组队”即可发送组队请求，对方在“接受”组队请求后，对方就能加入您的队伍。如果对方已经有队伍，并且人数没有满，那么你就可以加入到对方的队伍中。
2	4		如何将小队转化为团队？	队伍队长用鼠标右键点击自己头像图标，在下拉菜单里选择“转化为团队模式”即可。
2	5		如何打开团队中其他小队界面？	在团队模式下，点击团队界面旁边的“一、二、三、四、五“数字按钮，即可打开团队中其他小队的界面。
2	6		如何调整团队中小组成员的位置？	团队的团长使用鼠标右键点击团队列表中的队员名字，在下拉菜单中选择“移动至小队“然后选择对应数字即可。
2	7		为什么我在团队中不能完成某些任务？	因为有些任务只能在队伍情况下完成，不能在团队模式中完成，例如主线/支线剧情任务。
2	8		什么任务是可以在团队模式下完成的？	一般阵营日常任务和战宝任务可以在团队模式下完成。
2	9		什么是团队就位？如何进行团队确认？	团队就位是为了让团队的团长在战斗开始前确认团队中的每个人是否已经准备好战斗的一种方式。团长点击团队界面左上角的齿轮图标，在下拉菜单中选择“团队就位确认”即可。
2	10		如何修改队伍/团队拾取模式?	团队模式下，团长点击团队列表左上方的齿轮图标，队伍模式下，队长用鼠标右键点击自己角色的图标，选择“物品分配”中的任意一种分配即可。
2	11		如何查看队伍/团队成员身上的各种状态（增益效果和负面效果）？	队伍模式下，队伍成员的各种状态和会显示在其图标的右侧。团队模式下，点击团队界面左上角的齿轮图标后，在下拉菜单中选择“显示增减益效果”即可。
2	12		如何修改队伍/团队中的分配物品的等级？	队伍模式下，有分配权限的角色使用鼠标右键点击自己的角色图标，选择“分配等级”中的任意一种等级即可。团队模式下，点击团队界面左上角的齿轮图标后，在下拉菜单中选择“分配等级”即可。
