ClassID	SubClassID	ID	ClassName	SubClassName	Title	Content	Link
0	0	0					
3	0	0	新手必读			<text>text="　　剑三江湖精彩纷呈，新进的小侠在开始体验江湖生活之前还需要打好一定的游戏基础，包括：操作、角色属性中各个属性所代表的意义等。有了良好的基础，便可行走江湖、行侠仗义了。" font=162</text>	
3	2	0		操作基础		<text>text="　　初涉江湖，首先要学会的基本功自然是移动、跳跃和攻击等这一系列需要掌握的基础操作。了解这些信息能够帮助您更快更好的融入到这个宏大的江湖世界中来。" font=162</text>	
3	2	1			移动	<text>text="　　使用W、S、A、D键可以向前后左右方移动，键盘上的方向键也能移动您的角色。\\\n　　使用Q、E键可以向左、右方平行移动。\\\n　　在移动的同时按住右键拖动便可以转向。同时按住鼠标左右键或按下NumLock键都会自动往前走。" font=162</text>	
3	2	2			跳跃	<text>text="　　按下空格键Space可以跳跃，跳跃至空中时再次按下空格可以进行二段跳。" font=162</text>	
3	2	3			打坐	<text>text="　　按快捷键V或X即可进入打坐状态。在打坐状态下，您的气血和内力会加快回复速度。再次按下快捷键取消打坐状态。使人物移动同样会自动解除打坐状态。" font=162</text>	
3	2	4			视角	<text>text="　　按住鼠标左键拖动可以转动您的视角但不转动游戏内角色面对的方向，按住鼠标右键拖动可以在转动视角的同时让您的角色转身。滑动鼠标滚轮可以缩放视角。" font=162</text>	
3	2	5			交互	<text>text="　　用鼠标左键点击可以选定物品和NPC，鼠标右键点击则可以同NPC交谈或激活某个对象。鼠标指针会随目标类型而变化，如果鼠标指针停在一个可以交互的对象身上时，鼠标指针会显示某个图标，根据图标的不同右键点击会产生不同的动作类型，比如剑代表攻击，泡泡代表交谈等。" font=162</text>	
3	2	6			攻击	<text>text="　　当鼠标移到可攻击的目标身上可以看见剑状的攻击指针，如果指针是灰色的，就表示您在可攻击的范围之外。要攻击目标必须先进入攻击范围，鼠标右键点击目标可以实现自动攻击。当然您也可以点击下方动作条中的“攻击”图标或自定义的招式快捷键来选择相应的攻击。" font=162</text>	
3	2	9			互动	<text>text="　　右键点击附近某个玩家的小头像，会弹出一个针对该玩家的交互菜单，在菜单里您可以选择与之组队、与之交易、查看他身上的装备、将之加为好友和仇人（有等级限制）、请求与之切磋（有等级限制）等选项。" font=162</text>	
3	2	10			地图帮助	<text>text="　　按M键打开大地图，在右面的功能NPC列表里可以选择标记某NPC位置。就近询问城镇或门派中的守卫也是个不错的主意。当您和守卫对话询问或点击大地图NPC列表中的某位NPC后，在大地图上均会以绿点显示。" font=162</text>	<text>text="我该如何问路？" font=162 link="Career/10"</text>
3	2	11			自动拾取	<text>text="　　使用Shift+右键点击尸体可以自动拾取掉落的物品，但是不会自动拾取需要绑定的物品。您也可以按Esc在界面设置中勾选“自动拾取”功能，这样每次您右键点击尸体时都会自动拾取掉落的物品了。" font=162</text>	
3	2	12			装备物品	<text>text="　　按快捷键B打开背包，通过右键点击背包里的物品或直接拖拽到人物属性界面相应位置来装备它，同样也能把物品放到快捷栏的空格中方便使用。" font=162</text>	
3	2	13			丢弃物品	<text>text="　　左键点击背包内某个需要丢弃的物品，将其拖到屏幕上背包界面以外的区域，再次点击左键即可丢弃该物品。注意被丢弃的物品将被摧毁并无法恢复，下手之前需得三思而后行。" font=162</text>	
3	2	14			快捷栏	<text>text="　　屏幕底部的快捷栏包含了您的招式，特殊能力或经常使用的物品。把鼠标移到这些图标上会出现一个提示窗口，里面会显示招式或物品的名称和属性等。您可以通过点击图标来使用它们，或者通过按下快捷栏里对应的的数字来使用。通过Esc打开的界面设置中可以增加更多的快捷栏，在快捷键设置里您还可以自定义和招式、物品对应的快捷键。" font=162</text>	
3	2	15			角色信息	<text>text="　　按C键将会弹出您的角色信息界面，其中包括您的姓名、等级、装备和人物属性、声望、坐骑界面。" font=162</text>	
3	3	0		角色基础属性	气血值	<text>text="　　角色基础属性包括了角色属性中最基本的元素，例如：体质、根骨、力道、元气、身法。\\\n　　这些将关系到角色本身的血量、攻击、会心值等。" font=162</text>	
3	3	1			体质	<text>text="体质\\\n　　影响角色气血值。\\\n" font=162</text>	
3	3	2			根骨	<text>text="根骨\\\n　　影响角色内力值与内功会心值。" font=162</text>	
3	3	7			力道	<text>text="力道\\\n　　影响角色外功攻击力。" font=162</text>	
3	3	8			身法	<text>text="身法\\\n　　影响角色外功会心值与闪躲值。" font=162</text>	
