ID	Activity	TimeRepresent	Class	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText
0	空活动（默认）		1	1;	0	1	0			4						3								
14	公共任务日常	今日7：00~次日6：59	5	80;	6:100;8:75;					2		个人参与	<text>text="        可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/167"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/168"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/169"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/170"</text><text>text="的日常任务区的贡献昭示牌处接取任务" font=18</text>	<text>text="        75金，350点轩辕社声望" font=198</text>	<text>text="        预计所需时间25分钟 " font=168</text><text>text=" \\\n        1、轩辕社声望达到尊敬可购买260品紫色戒指和鞋子\\\n        2、轩辕社声望达到一定程度可购买" font=18</text><text>text="真黄之眼" font=18 link="ItemLinkInfo/8/4166"</text><text>text="，" font=18</text><text>text="龙血磨石" font=18 link="ItemLinkInfo/5/2691"</text><text>text="，" font=18</text><text>text="鬼虎甲片秘方：头部" font=18 link="ItemLinkInfo/5/9685"</text><text>text="，" font=18</text><text>text="素针·缓" font=18 link="ItemLinkInfo/5/9771"</text><text>text="，" font=18</text><text>text="素针·定" font=18 link="ItemLinkInfo/5/9769"</text><text>text="，" font=18</text><text>text="汇珍宴" font=18 link="ItemLinkInfo/5/10013"</text><text>text="，" font=18</text><text>text="鬼虎绣（上装）" font=18 link="ItemLinkInfo/5/9148"</text><text>text="，" font=18</text><text>text="鬼虎天工染：下装" font=18 link="ItemLinkInfo/5/9163"</text><text>text="，" font=18</text><text>text="天工图：鬼虎磨石" font=18 link="ItemLinkInfo/5/9788"</text><text>text="，" font=18</text><text>text="鬼虎甲片（鞋子）" font=18 link="ItemLinkInfo/5/9688"</text><text>text="，" font=18</text><text>text="鬼虎绣（护手）" font=18 link="ItemLinkInfo/5/9150"</text><text>text="，" font=18</text><text>text="鬼虎染（腰带）" font=18 link="ItemLinkInfo/5/9166"</text>	2								
16	战场-神农洇	本战场日的12点~24点开放	4	80;	2:100;3:100;6:100;	5				1		15人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，浩气盟（恶人谷）声望" font=198</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到10人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励\\\n" font=18</text>	3	30;10;0;		ui\Image\Active\zcshennong1.tga	ui\Image\Active\zcshennong2.tga				
17	七夕活动	每年的七月初五起，持续十四天。	1	20~80;		3	1	ui\Image\Helper\Help—Bg.UITex	54	0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="七夕佳节，可前往主城活动区从贺兰枫处接取节日任务。" font=18</text>	3								
18	战场-神农洇	本战场日的12点~24点开放	4	80;	2:100;3:100;6:100;	5				1		15人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，浩气盟（恶人谷）声望" font=198</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到10人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcshennong1.tga	ui\Image\Active\zcshennong2.tga				
19	威望日常	今日7：00~次日6：59	5	80;	2:100;3:100;8:100;	1				2		个人参与	<text>text="        阵营玩家可前往黑龙沼" font=18</text><text>text="月玲珑（浩气盟）" font=168 link="NPCGuide/165"</text><text>text="或" font=18</text><text>text="火龙（恶人谷）" font=168 link="NPCGuide/166"</text><text>text="处接取任务" font=18</text>	<text>text="        100金，3250点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，250点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，25个" font=198</text><text>text="纳元丹" font=198 link="ItemLinkInfo/5/7053"</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        浩气盟或恶人谷玩家可到黑龙沼的绝迹泽附近接取并完成任务" font=18</text>	2								
27	战场-九宫棋谷	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=202</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与。浩气盟玩家只能代表孤山集，恶人谷玩家只能代表江流集，不限门派，自由组合。双方人数均达到17人才可正常开启战场，时限18分钟\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcjiugong1.tga	ui\Image\Active\zcjiugong2.tga				
28	战场-九宫棋谷	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=202</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间20分钟 " font=168</text><text>text=" \\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与。浩气盟玩家只能代表孤山集，恶人谷玩家只能代表江流集，不限门派，自由组合。双方人数均达到17人才可正常开启战场，时限18分钟\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcjiugong1.tga	ui\Image\Active\zcjiugong2.tga				
29	秘境日常	今日7：00~次日6：59	5	80;	1:100;4:75;7:50;8:50;	1				2	QuestDaily/17/0	五人组队参与	<text>text="        可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/167"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/168"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/169"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/170"</text><text>text="的日常任务区的贡献昭示牌处接取任务" font=18</text>	<text>text="        50金，3500点" font=198</text><text>text="帮贡" font=198 link="Library/17/1/0"</text><text>text="，500点" font=198</text><text>text="侠义值" font=198 link="Library/17/2/0"</text><text>text="，5个" font=198</text><text>text="监本印文" font=198 link="ItemLinkInfo/5/6258"</text><text>text="，1个" font=198</text><text>text="锡制宝箱" font=198 link="ItemLinkInfo/5/6254"</text>	<text>text="       预计所需时间20分钟  " font=168</text><text>text="\\\n       可前往长安、洛阳、扬州、成都的日常任务区的贡献昭示牌处接取任务" font=18</text>	2								
30	野外地图首领	每隔三天的20点刷新，首领BOSS不被击杀则一直存在	4	80;		7	0			0		大规模野外战斗	<text>text="        随机出现在" font=18</text><text>text="枫华谷" font=168 link="NPCGuide/179"</text><text>text="，" font=18</text><text>text="洛道" font=168 link="NPCGuide/180"</text><text>text="，" font=18</text><text>text="金水镇" font=168 link="NPCGuide/182"</text><text>text="，" font=18</text><text>text="寇岛" font=168 link="NPCGuide/181"</text><text>text="其中之一" font=18</text>	<text>text="        255品紫色PVP首饰，5级6级五彩石，6级五行石\\\n" font=167</text>	<text>text="        预计所需时间1小时" font=168</text><text>text="\\\n        1、255高品戒指，首饰有" font=18</text><text>text="傲天戒" font=74 link="ItemLinkInfo/8/4296"</text><text>text="傲天链" font=74 link="ItemLinkInfo/8/4280"</text><text>text="傲天戒" font=74 link="ItemLinkInfo/8/4307"</text><text>text="特殊腰坠有:" font=18</text><text>text="傲天坠" font=74 link="ItemLinkInfo/8/4263"</text><text>text="傲天坠" font=74 link="ItemLinkInfo/8/4253"</text><text>text="傲天坠" font=74 link="ItemLinkInfo/8/4254"</text><text>text="等，各门派内功都有与之相对应的腰坠\\\n        2、野外首领实力强劲，有较大规模的团队组织才能更有效的击败\\\n        3、野外首领的奖励所属归于第一个触发他的玩家所在团队\\\n        4、野外首领的移动范围也是有限的，超过限定范围首领会回归到刷新点，气血全值恢复" font=18</text>		30;10;0;	1	ui/Image/Active/yewaiboss1.tga	ui/Image/Active/yewaiboss2.tga				
