LinkID	MapID	NpcID	Kind	x	y	z	NpcName
0	0	0	0	0	0	0	
1	6	1247	扬州新手武学训练师	46230	31584	1049024	枚成才
1	8	2406	洛阳新手武学训练师	59392	22817	1084672	枚成器
1	15	3682	长安新手武学训练师	28510	45882	1064064	枚成功
2	6	5474	扬州新手少林接引	44724	32041	1049024	澄实
2	8	5473	洛阳新手少林接引	55492	21792	1080768	澄实
2	15	5439	长安新手少林接引	32532	45440	1060864	澄实
3	6	5465	扬州新手万花接引	43624	33648	1049408	僧一行
3	8	5466	洛阳新手万花接引	52431	23869	1079808	僧一行
3	15	5427	长安新手万花接引	33957	45523	1060864	僧一行
4	6	5472	扬州新手七秀接引	44069	29239	1049152	萧白胭
4	8	5471	洛阳新手七秀接引	55118	23962	1081536	萧白胭
4	15	5437	长安新手七秀接引	32557	43887	1063616	萧白胭
5	6	5470	扬州新手纯阳接引	44285	29806	1049088	卓凤鸣
5	8	5469	洛阳新手纯阳接引	54237	24178	1080256	卓凤鸣
5	15	5433	长安新手纯阳接引	31935	48037	1060928	卓凤鸣
6	6	5468	扬州新手天策接引	44292	34369	1049024	曹雪阳
6	8	5467	洛阳新手天策接引	53884	21656	1081280	曹雪阳
6	15	5435	长安新手天策接引	32070	46024	1060864	曹雪阳
7	6	3860	扬州新手采金	47393	30102	1048949	金不患
7	8	3862	洛阳新手采金	58089	20220	1083711	蒙劭伟
7	15	3864	长安新手采金	29718	45957	1064053	王武霍
8	6	3861	扬州新手神农	45332	29049	1049056	龙止情
8	8	3863	洛阳新手神农	57423	20496	1083747	秦芹
8	15	3338	长安新手神农	26368	44618	1063431	朱晓月
9	6	3495	扬州新手庖丁	48681	22218	1049454	苏勤
9	8	2339	洛阳新手庖丁	57680	20395	1083725	张达
9	15	3337	长安新手庖丁	26485	44885	1063720	陆定州
10	6	2266	扬州新手铸造	53859	58391	1051810	铁头
10	8	2337	洛阳新手铸造	57296	21596	1083282	程彪
10	15	3755	长安新手铸造	40711	102711	1063579	金锤
11	6	3493	扬州新手缝纫	47381	24098	1050898	绣娘
11	8	3503	洛阳新手缝纫	36065	86224	1058044	邹榆
11	15	3757	长安新手缝纫	39623	103687	1064591	谢文莉
12	6	2263	扬州新手医术	57416	61153	1051790	松若云
12	8	3507	洛阳新手医术	36048	83958	1057365	赵婷婷
12	15	3335	长安新手医术	25239	45119	1063637	林云儿
13	6	392	扬州新手烹饪	42485	25479	1049596	丁聚财
13	8	2338	洛阳新手烹饪	58437	19352	1083719	王九
13	15	3336	长安新手烹饪	33451	47531	1060864	蔡春华
14	6	2586	扬州新手仓库	49773	29820	1052718	杨澄
14	8	2585	洛阳新手仓库	61550	25643	1083838	罗甫
14	15	3785	长安新手仓库	28808	47211	1064190	杨清
15	6	3669	扬州新手信使	62629	57795	1051859	扬州信使
15	8	3674	洛阳新手信使	17508	87738	1060125	洛阳信使
15	15	3675	长安新手信使	41005	91690	1061636	长安信使
16	6	1249	扬州新手守卫	42068	22111	1050023	再来镇守卫
16	8	3786	洛阳新手守卫	59539	18190	1083865	风雨镇守卫
16	15	2468	长安新手守卫	27361	45622	1063936	沈晓云
43	5	552	少林入门	45398	46425	1127424	澄理
44	2	99	万花入门	46332	47544	1162265	孙思邈
45	16	2131	七秀入门	16268	14120	1071436	叶芷青
46	7	715	纯阳入门	8074	11787	1174080	李忘生
47	11	1641	天策入门	57922	25598	1062764	李承恩
