SectionID	ForceID	Skill
0	0	
1	0	9003,1;
2	0	9003,2;9002,1;
2	1	10003,1;10002,1;
2	2	10021,1;10028,1;
2	3	10026,1;10062,1;
2	4	10015,1;10014,1;
2	5	10081,1;10080,1;
2	6	10175,1;10176,1;
2	8	10144,1;10145,1;
3	0	605,1;81,1;9002,2;
3	1	10003,2;10002,2;498,1;
3	2	10021,2;10028,2;228,1;
3	3	10026,2;10062,2;424,1;
3	4	10015,2;10014,2;346,1;
3	5	10081,2;10080,2;575,1;
3	6	10175,2;10176,2;2228,1;
3	8	10144,2;10145,2;1580,1;
4	0	9003,3;9002,3;
4	1	498,2;10003,3;10002,3;
4	2	228,2;10021,3;10028,3;
4	3	10026,3;10062,3;424,2;
4	4	10015,3;10014,3;346,2;
4	5	10081,3;10080,3;575,2;
4	6	10175,3;10176,3;
4	8	10144,3;10145,3;
5	0	9003,4;9002,4;
5	1	10003,4;10002,4;498,3;
5	2	10021,4;10028,4;228,3;
5	3	10026,4;10062,4;424,3;
5	4	10015,4;10014,4;346,3;
5	5	10081,4;10080,4;575,3;
5	6	10175,4;10176,4;
5	8	10144,4;10145,4;
6	0	9002,5;
6	1	10003,5;10002,5;498,4;
6	2	10021,5;10028,5;228,4;
6	3	10026,5;10062,5;424,4;
6	4	10015,5;10014,5;346,4;
6	5	10081,5;10080,5;575,4;
6	6	10175,5;10176,5;
6	8	10144,5;10145,5;
7	0	9002,6;
7	1	10003,6;10002,6;498,5;
7	2	10021,6;10028,6;228,5;
7	3	10026,6;10062,6;424,5;
7	4	10015,6;10014,6;346,5;
7	5	10081,6;10080,6;575,5;
7	6	10175,6;10176,6;
7	8	10144,6;10145,6;
8	0	1160,1;35,1;9002,7;
8	1	10003,7;10002,7;498,6;
8	2	10021,7;10028,7;228,6;
8	3	10026,7;10062,7;424,6;
8	4	10015,7;10014,7;346,6;
8	5	10081,7;10080,7;575,6;
8	6	10175,7;10176,7;
8	8	10144,7;10145,7;
9	0	
9	1	10003,8;10002,8;
9	2	10021,8;10028,8;
9	3	10026,8;10062,8;
9	4	10015,8;10014,8;
9	5	10081,8;10080,8;
9	6	10175,8;10176,8;
9	8	10144,8;10145,8;
