Level	ForceID	MapID1	AreaID1	MapID2	AreaID2	MapID3	AreaID3	MapID4	AreaID4	MapID5	AreaID5	MapID6	AreaID6	MapID7	AreaID7	MapID8	AreaID8	MapID9	AreaID9	MapID10	AreaID10	MapID11	AreaID11	MapID12	AreaID12	MapID13	AreaID13	MapID14	AreaID14	MapID15	AreaID15	MapID16	AreaID16	MapID17	AreaID17	MapID18	AreaID18	MapID19	AreaID19	MapID20	AreaID20	MapID21	AreaID21	MapID22	AreaID22
0	0	0		0		0		0		0		0		0		0		0		0																									
1	0	1	100																																										
2	0	1	100																																										
3	0	1	100																																										
4	0	1	135																																										
5	0	1	135																																										
6	0	1	55																																										
7	0	1	55																																										
8	0	1	55																																										
9	0	1	55																																										
10	0	1	100	1	55	8	89	15	8	6	191																																		
11	0	8	89	6	191	6	179	15	8																																				
12	0	8	89	8	217	15	13	15	3	6	191	6	64																																
13	0	8	89	15	3	15	13	6	191																																				
14	0	8	51	15	3	15	13	6	166																																				
15	0	5	4	2	87	11	122	7	247	16	89	49	140	102	160																														
15	1	5	19																																										
15	2	2	110																																										
15	3	11	55																																										
15	4	7	23																																										
15	5	16	26																																										
15	6	102	160	102	80																																								
15	7	122	64																																										
15	8	49	200																																										
16	1	5	69																																										
16	2	2	110																																										
16	3	11	26	11	126																																								
16	4	7	23																																										
16	5	16	82	16	51																																								
16	6	102	160	102	80																																								
16	7	122	26																																										
16	8	49	135																																										
17	1	5	94	5	79	5	124																																						
17	2	2	110	2	64																																								
17	3	11	210	11	26																																								
17	4	7	166	7	23																																								
17	5	16	82	16	94																																								
17	6	102	215																																										
17	7	122	26																																										
17	8	49	115																																										
18	1	5	124																																										
18	2	2	110	2	64	2	102																																						
18	3	11	117	11	26																																								
18	4	7	189																																										
18	5	16	87	16	94																																								
18	6	102	215																																										
18	7	122	26																																										
18	8	49	115																																										
19	1	5	84																																										
19	2	2	51	2	13	2	110																																						
19	3	11	102	11	135																																								
19	4	7	189	7	212																																								
19	5	16	143																																										
19	6	102	200																																										
19	7	122	13																																										
19	8	49	220																																										
20	1	5	99	5	114	5	129	5	59																																				
20	2	2	140	2	13																																								
20	3	11	212	11	135																																								
20	4	7	143	7	189	7	110																																						
20	5	16	158	16	32																																								
20	6	102	180																																										
20	7	122	13																																										
20	8	49	200	49	75	49	135																																						
21	1	5	129	5	39	5	114																																						
21	2	2	140	2	148																																								
21	3	11	212	11	148																																								
21	4	7	94	7	87																																								
21	5	16	28																																										
21	6	102	140	102	120																																								
21	7	122	77																																										
21	8	49	75	49	135																																								
22	1	5	39																																										
22	2	2	140	2	148	2	163																																						
22	3	11	86	11	188																																								
22	4	7	64	7	71	7	94																																						
22	5	16	26	16	28																																								
22	6	102	100																																										
22	8	49	250	49	135																																								
23	1	5	39	5	69	5	119	5	144																																				
23	2	2	148	2	125	2	51																																						
23	3	11	188																																										
23	4	7	79	7	71																																								
23	5	16	89	16	189																																								
23	6	102	100																																										
23	7	122	89	122	102	122	115																																						
23	8	49	250	49	135																																								
24	1	5	144																																										
24	2	2	51	2	125																																								
24	3	11	188	11	55	11	35																																						
24	4	7	87	7	48																																								
24	5	16	189																																										
24	6	102	100																																										
24	7	122	51	122	102	122	115																																						
24	8	49	200	49	135																																								
25	1	5	119	7	242																																								
25	2	2	51	16	89																																								
25	3	11	188	11	55	5	54	5	124																																				
25	4	7	23	11	122																																								
25	5	16	26	2	13																																								
25	6	102	100	15	46	15	38	15	77																																				
25	7	122	51																																										
25	8	49	165	49	135	49	240	49	95																																				
26	1	7	64	7	33																																								
26	2	16	189	16	227																																								
26	3	5	84	5	144																																								
26	4	11	55	11	188	11	101																																						
26	5	2	110	2	79																																								
26	6	15	46	15	38	15	77																																						
26	8	49	165	49	135	49	240	49	95																																				
27	1	7	33	8	179																																								
27	2	16	33	15	46	15	38	15	77																																				
27	3	5	119	8	179																																								
27	4	15	46	11	188	15	38	15	77																																				
27	5	6	191	2	79																																								
27	6	15	46	15	38	15	77																																						
27	8	6	191	49	240																																								
28	1	8	179	8	102																																								
28	2	15	38	15	77																																								
28	3	8	179	8	102																																								
28	4	15	38	15	77																																								
28	5	6	102	6	51	6	191																																						
28	6	15	38	15	77																																								
28	8	6	102	6	51	6	191																																						
29	1	8	115	8	26																																								
29	2	15	33	15	51																																								
29	3	8	115	8	26																																								
29	4	15	33	15	51																																								
29	5	6	102	6	51																																								
29	6	15	33	15	51																																								
29	8	6	102	6	51																																								
30	0	13	85	13	90	13	160	12	35	9	13																																		
31	0	13	160	12	15	12	95	9	13																																				
32	0	13	160	10	80	10	160	9	242																																				
33	0	10	150	10	160	9	242	9	1																																				
34	0	13	140	13	90	13	150																																						
35	0	13	140	13	90	13	130																																						
36	0	13	130	13	140	9	1																																						
37	0	13	140	9	1	9	8																																						
38	0	9	51	9	8																																								
39	0	12	165	12	205	9	8																																						
40	0	12	35	12	205	9	51																																						
41	0	12	145	9	8																																								
42	0	12	145																																										
43	0	12	15	9	51	9	1	9	64	9	77																																		
44	0	12	15	9	64																																								
45	0	13	70	13	90	12	185																																						
46	0	13	80	13	70	10	160	9	64																																				
47	0	10	160	9	64																																								
48	1	5	144	5	159	9	64	9	77																																				
48	2	2	51	2	186	9	64	9	77																																				
48	3	11	55	11	91	9	64	9	77																																				
48	4	7	242	7	41	9	64	9	77																																				
48	5	16	26	16	206	16	181	9	64	9	77																																		
48	6	102	170	102	190																																								
48	7	122	38																																										
48	8	49	255																																										
49	1	5	134																																										
49	2	2	194																																										
49	3	11	38																																										
49	4	7	10																																										
49	5	16	143																																										
49	6	102	170	102	190																																								
49	7	122	38																																										
49	8	49	255																																										
50	0	8	46	15	128	6	204	23	65	23	77	23	97																																
51	0	21	20	21	189																																								
52	0	21	41	21	31																																								
53	0	21	41	21	31	21	82																																						
54	0	21	82	21	71																																								
55	0	21	71	23	209																																								
56	0	23	26	23	122																																								
57	0	23	209	23	122																																								
58	0	23	209	21	161																																								
59	0	21	161																																										
60	0	22	175	30	20																																								
61	0	22	45	30	20																																								
62	0	22	45	22	175	30	200																																						
63	0	22	175	22	155	22	95	30	55																																				
64	0	22	155	22	95	30	190	30	90																																				
65	0	22	175	30	20																																								
66	0	22	175	30	20	25	245	25	224	25	181	27	23	27	1																														
67	0	35	5																																										
67	1	25	105	25	74	25	163																																						
67	2	27	23	27	46	27	38	27	15																																				
68	0	35	5	35	128																																								
68	1	25	163	30	160	22	35																																						
68	2	27	38	27	15	30	70	22	15																																				
69	0	35	128																																										
69	1	25	186	25	36	25	33	25	87	30	110	22	35																																
69	2	27	84	27	191	30	120	22	15																																				
70	0	8	46	15	128	6	204	35	5	23	209																																		
70	1	25	186																																										
70	2	27	31																																										
71	0	100	79	100	87	100	94	101	5	101	10	101	15	101	20																														
71	1	100	26																																										
71	2	101	65	101	70																																								
72	0	100	102	100	110	100	117	100	125	101	30	101	25	101	40	101	55																												
72	1	100	10	100	18	100	33	100	162																																				
73	0	100	133	100	140	101	35	101	45	101	50	101	60	101	75																														
73	1	100	41	100	48	100	56	100	64	100	71																																		
74	0	102	40	102	20	102	150	102	130	102	110	108	160	108	30	108	150	108	55	108	105	108	15																						
75	0	108	50	108	40	108	60	108	80	108	100	108	120	108	140	108	70	108	90	108	110	108	130	108	190	108	65	108	75	108	85	108	115	104	20	104	40	104	60	103	5	103	15	103	225
76	0	108	20	108	180	108	10	108	35	108	45	108	95	104	80	104	100	104	120	103	165	103	175	103	205																				
77	0	104	140	104	160	104	255	103	135	103	145	103	215	103	235																														
78	0	104	80	104	100	104	120	103	165	103	175	103	205	104	140	104	160	104	255	103	135	103	145	103	215	103	235																		
79	0	104	80	104	100	104	120	103	165	103	175	103	205	104	140	104	160	104	255	103	135	103	145	103	215	103	235																		
80	0	104	80	104	100	104	120	103	165	103	175	103	205	104	140	104	160	104	255	103	135	103	145	103	215	103	235																		
