TabType	ID	Level	AucGenre	AucSubType	Name	BelongSchool	SetID	MagicKind	MagicType	GetType	PVE_PVP	Get_Force	Get_Desc	BelongMapID	PrestigeRequire
0	0	0	0	0	通用	0	0	通用	通用	通用	通用			0	
8	100	34	4	4	号角	0		通用		副本,商店			{[鬼影小次郎]},{装饰品店}	19	
8	101	32	4	5	小邪子的福娃娃	0		通用		任务			{捉迷藏的小邪子}		
8	102	58	4	4	腰鼓	0		通用		副本,商店			{[沙利亚]},{装饰品店}	26	
8	103	71	4	4	竹筒	0		通用		任务			{翩翩鹤羽巧织匠}		
8	104	71	4	4	猪腿	0		通用		任务			{另一个王}		
8	105	20	4	5	小悟空	0		通用							
8	110	100	4	4	木鱼	0		通用		副本,商店			{[水中月、镜中花、空中云]},{装饰品店}	45	
8	111	105	4	5	红竹背箱	0		通用		声望		少林	{少林乙字声望商}		尊敬
8	112	105	4	5	弓	0		通用		声望		天策	{天策乙字声望商}		尊敬
8	113	105	4	5	琴	0		通用		声望		万花	{万花乙字声望商}		尊敬
8	114	105	4	5	葫芦	0		通用		声望		纯阳	{纯阳乙字声望商}		尊敬
8	115	105	4	5	曼罗琴	0		通用		声望		七秀	{七秀乙字声望商}		尊敬
8	116	120	4	4	竹筒	0		通用		声望		南洋商会	{商会声望商}		尊敬
8	117	120	4	5	书箱	0		通用		声望		长歌门	{长歌门声望商}		尊敬
8	118	120	4	5	蓑衣	0		通用		声望		东漓寨	{东漓寨声望商}		尊敬
8	119	115	4	4	酒坛	0		通用		声望		恶人谷	{恶人谷乙字声望道具店}		尊敬
8	120	115	4	4	清萧	0		通用		声望		浩气盟	{浩气盟乙字声望道具店}		尊敬
8	121	130	4	4	真红	0		通用							
8	122	130	4	4	笛子	0		通用							
8	125	27	4	2	怵笛之戒	0		通用		任务			{迦兰无间,突出重围,未雨绸缪,东瀛诡客,生死一线}		
8	126	29	4	2	云流戒	0		内功		任务			{复仇,突袭忍者,盗椟还宝,万恶淫为首,大事不妙！}		
8	127	29	4	2	谢渊环	1		外功		任务			{复仇,突袭忍者,盗椟还宝,万恶淫为首,大事不妙！}		
8	128	29	4	2	麻吕扳指	2		治疗		任务			{复仇,突袭忍者,盗椟还宝,万恶淫为首,大事不妙！}		
8	129	30	4	2	铁戒指·不鸣	1		外功		掉落			{人形怪 30~39}		
8	130	30	4	2	星垂戒	3		外功		掉落			{人形怪 21~30}		
8	131	30	4	2	月涌戒	2		内功		掉落			{人形怪 21~30}		
8	132	32	4	2	兽王玉戒	1		外功		副本			{[人熊]}	20	
8	133	34	4	2	夜啼	0		内功		任务			{蓬莱密谋起天工}		
8	134	35	4	2	烟柳戒	0		通用		声望		城市·扬州	{扬州甲字物资官}		友好
8	135	33	4	2	蓬莱密戒	2		内功		副本			{[方季常]}	17	
8	136	31	4	2	义士指环	0		通用		任务			{击杀铜钱主}		
8	137	32	4	2	铁戒指·辉光	0		防御	外防	掉落			{人形怪 30~39}		
8	138	34	4	2	悬门	4		治疗		副本			{[冯度]}	19	
8	139	34	4	2	青玉扳指·不蜚	4		内功		掉落			{人形怪 30~39}		
8	140	36	4	2	白玉戒指·不鸣	3		外功		掉落			{人形怪 30~39}		
8	141	36	4	2	坞金环	0		内功		任务			{警告}		
8	142	38	4	2	铁戒指·不蜚	5		内功	会心	掉落			{人形怪 30~39}		
8	143	46	4	2	瘦溪泪	0		通用		任务			{善意的谎言？}		
8	144	38	4	2	血石指环	3		外功		任务			{捉迷藏的小邪子}		
8	145	40	4	2	大乘	0		内功		任务			{元凶}		
8	146	40	4	2	破天戒	1		外功		任务			{元凶}		
8	147	40	4	2	怀柔	4		治疗		任务			{元凶}		
8	148	40	4	2	铁戒指·盛年	2		内功		掉落			{人形怪 40~49}		
8	149	40	4	2	露从戒	1		外功		掉落			{人形怪 31~40}		
8	150	40	4	2	夜白戒	5		内功		掉落			{人形怪 31~40}		
8	151	40	4	2	天涯此时戒	3		外功	破防	掉落			{人形怪 31~40}		
8	152	40	4	2	江清月近戒	4		内功	破防	掉落			{人形怪 31~40}		
8	153	42	4	2	净玉	3		外功		副本			{[华鹤炎]}	14	
8	154	42	4	2	青铜戒·盛年	3		外功		掉落			{人形怪 40~49}		
8	155	42	4	2	蓝石指环	0		内功		任务			{沙利亚之死}		
8	156	49	4	2	蛛红戒	4		内功		副本			{[罗翼]}	18	
8	157	43	4	2	云明	1		外功		任务			{长歌之门}		
8	158	43	4	2	风清	5		防御	外防	任务			{长歌之门}		
8	159	44	4	2	金戒指·盛年	0		内功		掉落			{人形怪 40~49}		
8	160	45	4	2	白芍指环	4		治疗		任务			{同仇敌忾诛霸刀}		
8	161	46	4	2	青玉扳指·盛年	1		外功		掉落			{人形怪 40~49}		
8	162	48	4	2	白玉扳指·辉光	2		内功		掉落			{人形怪 40~49}		
8	163	49	4	2	蓝迹	3		外功		任务			{追回蓝姬}		
8	164	49	4	2	似施	0		内功		任务			{追回蓝姬}		
8	165	49	4	2	瑶花	2		治疗		任务			{追回蓝姬}		
8	166	50	4	2	银戒指·林逾	0		通用		掉落			{人形怪 50~59}		
8	167	58	4	2	圣火戒指	1		外功		副本			{[阿里曼监察使]}	26	
8	168	61	4	2	碧玉扳指	3		外功		任务			{绿林规矩}		
