ItemID	IconID	SoundID	Name	Desc	Requirement
0	572	1			
1	1840	1	《猿公剑法·剑主天地》参悟绝章	<Text>text="招式伤害提高5%。\n门派：七秀" font=100 </text>	
2	1200	8	硬木棍		
3	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
4	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
5	1212	2	精铁棍		
6	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
7	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
8	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
9	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
10	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
11	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
12	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
13	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
14	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
15	236	4	凝露水	<Text>text="使用：与青鱼石粉合成青鱼丹。\\\n" font=105 </text><Text>text="万花谷花草之上凝结的露水。" font=100 </text>	
