ID	Group	Name	MiddleMap0	MiddleMap1	ImagesPath	Tip
1	3	稻香村	稻香村			<text>text="稻香村， 长江道\\\n野外场景\\\n\\\n怪物等级：\\\n2 - 8\\\n\\\n任务等级：\\\n0 - 10" font=162</text>
2	2	万花	万花			<text>text="万花谷， 中原道\\\n门派场景\\\n\\\n怪物等级：\\\n16 - 26\\\n48 - 49\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
3	1	测试1	测试1			
5	2	少林	少林			<text>text="少林， 中原道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 24\\\n32 - 34\\\n48 - 50\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
6	1	扬州	扬州	扬州城		<text>text="扬州， 长江道\\\n城市场景\\\n\\\n怪物等级：\\\n11 - 15\\\n26 - 30\\\n\\\n任务等级：\\\n10 - 15\\\n25 - 30\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>
7	2	纯阳	纯阳			<text>text="纯阳派， 中原道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 26\\\n47 - 48\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
8	1	洛阳	洛阳	洛阳城		<text>text="洛阳， 岭南道\\\n城市场景\\\n\\\n怪物等级：\\\n11 - 13\\\n26 - 29\\\n\\\n任务等级：\\\n10 - 15\\\n25 - 30\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>
9	3	洛道	洛道			<text>text="洛道， 岭南道\\\n野外场景\\\n\\\n怪物等级：\\\n29 - 45\\\n\\\n任务等级：\\\n30 - 45\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
10	3	寇岛	寇岛			<text>text="寇岛， 中原道\\\n野外场景\\\n\\\n怪物等级：\\\n32 - 33\\\n47 - 48\\\n\\\n任务等级：\\\n32 - 34\\\n46 - 48\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n防风\\\n天名精" font=162</text>
11	2	天策	天策			<text>text="天策府， 中原道\\\n门派场景\\\n\\\n怪物等级：\\\n15 - 25\\\n48 - 50\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
12	3	枫华谷	枫华谷			<text>text="枫华谷， 中原道\\\n野外场景\\\n\\\n怪物等级：\\\n30 - 32\\\n39 - 46\\\n\\\n任务等级：\\\n30 - 32\\\n39 - 45\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
13	3	金水镇	金水镇			<text>text="金水镇， 中原道\\\n野外场景\\\n\\\n怪物等级：\\\n30 - 36\\\n45 - 47\\\n\\\n任务等级：\\\n30 - 37\\\n45 - 46\\\n\\\n矿物：\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
14	4	灵霄峡	灵霄峡			<text>text="灵霄峡：32+(5人)/70+(5人)" font=162</text>
15	1	长安	长安			<text>text="长安， 中原道\\\n城市场景\\\n\\\n怪物等级：\\\n11 - 15\\\n27 - 30\\\n\\\n任务等级：\\\n10 - 15\\\n25 - 27\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香" font=162</text>
16	2	七秀	七秀			<text>text="七秀， 长江道\\\n门派场景\\\n\\\n怪物等级：\\\n14 - 27\\\n48 - 49\\\n\\\n任务等级：\\\n15 - 27\\\n48 - 50\\\n\\\n矿物：\\\n铜矿\\\n锡矿\\\n铅矿\\\n锌矿\\\n\\\n草药：\\\n甘草\\\n大黄\\\n芍药\\\n兰草\\\n千里香\\\n车前草\\\n相思子\\\n防风\\\n天名精" font=162</text>
17	4	天工坊	天工坊			<text>text="天工坊：25+(5人)/70+(5人)" font=162</text>
18	4	无盐岛	无盐岛			<text>text="无盐岛：36+(5人)/70+(5人)" font=162</text>
19	4	空雾峰	空雾峰			<text>text="空雾峰：26+(5人)/70+(5人)" font=162</text>
20	4	天地三才阵	天地三才阵			<text>text="三才阵：24+(5人)/70+(5人)" font=162</text>
21	3	巴陵县	巴陵县			<text>text="巴陵县， 长江道\\\n野外场景\\\n\\\n怪物等级：\\\n50 - 55\\\n58 - 60\\\n\\\n任务等级：\\\n50 - 55\\\n58 - 60\\\n\\\n矿物：\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n防风\\\n五味子\\\n金银花\\\n田七\\\n天麻\\\n金创小草\\\n枸杞" font=162</text>
22	3	南屏山	南屏山			<text>text="南屏山， 岭南道\\\n野外场景\\\n\\\n怪物等级：\\\n59 - 65\\\n70\\\n\\\n任务等级：\\\n60 - 67\\\n69 - 70\\\n\\\n矿物：\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n五味子\\\n金银花\\\n田七\\\n天麻\\\n金创小草\\\n枸杞\\\n远志" font=162</text>
23	3	龙门荒漠	龙门荒漠			<text>text="龙门荒漠， 丝绸道\\\n野外场景\\\n\\\n怪物等级：\\\n50 - 58\\\n\\\n任务等级：\\\n50 - 58\\\n\\\n矿物：\\\n锌矿\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n防风" font=162</text>
25	5	浩气盟	浩气盟			<text>text="浩气盟， 岭南道\\\n野外场景\\\n\\\n怪物等级：\\\n66 -69\\\n\\\n任务等级：\\\n66 - 70\\\n\\\n矿物：\\\n铁矿\\\n银矿\\\n银砂矿\\\n\\\n草药：\\\n五味子\\\n金银花\\\n田七\\\n天麻\\\n金创小草\\\n枸杞\\\n远志\\\n仙茅" font=162</text>
26	4	荻花宫前山	荻花宫前山			<text>text="荻花宫：45+(5人)/70+(5人)" font=162</text>
