TemplateID	TypeID
17	1
24	17
28	6
38	14
44	18
77	13
80	6
82	4
99	14
100	14
102	8
104	5
105	5
106	1
109	16
110	12
112	1
114	15
115	4
166	18
167	18
179	7
191	17
274	1
276	5
390	6
407	4
429	18
450	5
451	12
454	12
455	1
457	1
458	16
459	4
460	6
461	17
462	17
463	1
464	1
465	5
468	4
477	6
479	12
480	16
482	12
486	11
487	16
535	6
536	6
537	4
540	5
548	5
551	5
553	7
555	16
557	14
564	13
565	13
567	6
577	16
578	11
582	1
592	4
614	1
615	16
628	16
635	5
637	16
664	13
665	13
666	13
667	13
668	13
669	13
670	13
671	13
672	13
674	13
675	13
677	13
698	4
709	16
710	15
713	14
724	5
725	1
726	7
727	1
733	5
735	5
737	14
763	8
810	15
814	13
977	17
1052	4
1075	5
1077	5
1079	18
1080	18
1081	18
1082	18
1083	18
1098	4
1144	12
1145	12
1146	12
1147	12
1148	7
1149	9
1150	4
1151	6
1152	12
1153	5
1182	5
1247	14
1249	18
1250	4
1251	13
1252	1
1254	13
1256	13
1261	18
1262	18
1270	1
1514	4
1528	4
1535	4
1599	12
1608	5
1609	1
1610	4
1611	6
1612	1
1613	12
1614	12
1615	6
1616	12
1617	1
1618	4
1619	1
1623	1
1628	12
1629	1
1630	5
1631	4
1632	6
1633	12
1637	11
1640	14
1646	14
1652	8
1653	1
1655	6
1656	12
1657	12
1658	1
1659	7
1660	4
1661	5
1662	11
1685	1
1746	8
1754	6
1756	1
1758	12
1760	4
1767	12
1811	1
1812	5
1828	4
1831	6
1837	6
1953	18
1961	5
2023	4
2027	12
2034	1
2035	1
2036	12
2037	6
2038	5
2040	4
2042	12
2110	17
2114	17
2131	14
2144	14
2215	12
2218	13
2220	12
2221	13
2222	13
2223	12
2224	7
2225	13
2226	13
2227	13
2228	13
2230	13
2231	13
2232	13
2240	4
2246	13
2247	12
2248	13
2249	13
2250	13
2251	12
2252	12
2255	15
2257	10
2259	4
2261	9
2262	6
2263	13
2264	13
2265	12
2266	13
2267	13
2268	13
2269	12
2270	1
2271	1
2272	1
2273	1
2274	1
2275	13
2276	13
2277	13
2278	12
2280	13
2281	13
2282	12
2283	12
2289	1
2294	18
2307	13
2315	13
2318	13
2319	13
2322	8
2341	12
2342	12
2343	12
2357	5
2361	4
2406	14
2409	4
2410	1
2412	5
2413	6
2414	4
2416	7
2417	9
2422	4
2427	17
2428	17
2429	7
2432	12
2434	13
2551	13
2552	13
2553	13
2554	13
2555	13
2556	13
2557	13
2558	13
2559	13
2560	13
2561	13
2562	13
2576	15
2577	16
2579	4
2581	4
2583	4
2585	15
2586	15
2590	5
2592	8
2609	6
2628	1
2630	6
2631	12
2632	12
2633	1
2634	7
2635	4
2636	5
2637	11
2638	15
2639	16
2640	12
2641	12
2642	9
2648	5
2649	8
2666	17
2703	8
2704	17
2743	18
2791	18
2824	17
2950	1
2951	1
2996	17
2998	17
3070	4
3107	12
3108	5
3109	12
3112	6
3115	1
3117	4
3118	7
3119	12
3120	12
3121	9
3189	16
3190	15
3203	18
3204	18
