ID	Desc	MinimapImageFrame	EffectID	CursorID
0		0	0	0
1	武器商	174	34	56
2	服装商	164	23	43
3	饰品商	170	37	52
4	杂货商	159	24	45
5	药品商	175	39	50
6	食品商	169	25	44
7	书商	171	27	41
8	马商	167	31	47
9	特殊商	172	32	54
10	背包商	160	26	39
11	声望物品售卖商	168	36	51
12	材料供应商	161	28	49
13	技艺训练师	166	29	42
14	技能训练师	165	40	53
15	仓库管理员	162	30	40
16	邮件	163	33	48
17	驿站	176	38	55
18	卫兵	173	35	46
19	战场-红	189	42	0
20	战场-蓝	189	41	0
21	藏剑掌门	209	0	0
22	纯阳掌门	211	0	0
23	七秀掌门	220	0	0
24	少林掌门	221	0	0
25	万花掌门	226	0	0
26	天策掌门	225	0	0
27	影	232	0	0
28	司空仲平	223	0	0
29	张桎辕	235	0	0
30	翟季真	214	0	0
31	月弄痕	233	0	0
32	可人	216	0	0
33	谢渊	230	0	0
34	陈和尚	210	0	0
35	米丽古丽	219	0	0
36	烟	231	0	0
37	肖药儿	229	0	0
38	陶寒亭	224	0	0
39	沈眠风	222	0	0
40	康雪烛	215	0	0
41	柳公子	218	0	0
42	王遗风	228	0	0
43	复活点	238	0	0
44	曲云	239	0	0
45	唐老太太	249	0	0
46	卓凤鸣	253	0	0
47	地图内交通	254	38	55
