ID	Type	KindID	FileName	Description
1	1	0	江湖头像_m2_001.tga	标男1、标女2、萝莉6
2	1	0	江湖头像_m2_002.tga	
3	1	0	江湖头像_m2_003.tga	
4	1	0	江湖头像_m2_004.tga	
5	1	0	江湖头像_m2_005.tga	
6	1	0	江湖头像_m2_006.tga	
7	1	1	门派头像_少林_m2_001.tga	
8	1	1	门派头像_少林_m2_002.tga	
9	1	2	门派头像_万花_m2_001.tga	
10	1	2	门派头像_万花_m2_002.tga	
11	1	3	门派头像_天策_m1_001.tga	
12	1	3	门派头像_天策_m1_002.tga	
13	1	4	门派头像_纯阳_m2_001.tga	
14	1	4	门派头像_纯阳_m2_002.tga	
15	1	8	门派头像_藏剑_m2_001.tga	
16	1	8	门派头像_藏剑_m2_002.tga	
17	2	0	江湖头像_f2_001.tga	
18	2	0	江湖头像_f2_002.tga	
19	2	0	江湖头像_f2_003.tga	
20	2	0	江湖头像_f2_004.tga	
21	2	0	江湖头像_f2_005.tga	
22	2	0	江湖头像_f2_006.tga	
23	2	2	门派头像_万花_f2_001.tga	
24	2	2	门派头像_万花_f2_002.tga	
25	2	3	门派头像_天策_f2_001.tga	
26	2	3	门派头像_天策_f2_002.tga	
27	2	4	门派头像_纯阳_f2_001.tga	
28	2	4	门派头像_纯阳_f2_002.tga	
29	2	5	门派头像_七秀_f2_001.tga	
30	2	5	门派头像_七秀_f2_002.tga	
31	2	8	门派头像_藏剑_f2_001.tga	
32	2	8	门派头像_藏剑_f2_002.tga	
33	6	0	江湖头像_f1_001.tga	
34	6	0	江湖头像_f1_002.tga	
35	6	0	江湖头像_f1_003.tga	
36	6	0	江湖头像_f1_004.tga	
37	6	0	江湖头像_f1_005.tga	
38	6	0	江湖头像_f1_006.tga	
39	6	2	门派头像_万花_f1_001.tga	
40	6	2	门派头像_万花_f1_002.tga	
41	6	3	门派头像_天策_f1_001.tga	
42	6	3	门派头像_天策_f1_002.tga	
43	6	4	门派头像_纯阳_f1_001.tga	
44	6	4	门派头像_纯阳_f1_002.tga	
45	6	5	门派头像_七秀_f1_001.tga	
46	6	5	门派头像_七秀_f1_002.tga	
47	6	8	门派头像_藏剑_f1_001.tga	
48	6	8	门派头像_藏剑_f1_002.tga	
49	1	6	门派头像_五毒_m2_001.tga	
50	1	6	门派头像_五毒_m2_002.tga	
51	2	6	门派头像_五毒_f2_001.tga	
52	2	6	门派头像_五毒_f2_002.tga	
53	6	6	门派头像_五毒_f1_001.tga	
54	6	6	门派头像_五毒_f1_002.tga	
55	1	7	门派头像_唐门_m2_001.tga	
56	1	7	门派头像_唐门_m2_002.tga	
57	2	7	门派头像_唐门_f2_001.tga	
58	2	7	门派头像_唐门_f2_002.tga	
59	6	7	门派头像_唐门_f1_001.tga	
60	6	7	门派头像_唐门_f1_002.tga	
