TempleteId	MapId	Positions
0		
3	5	32161,8489
5	1	18686,36714;14782,39306;15381,39735;16289,36596;16366,38073;16444,40011;16479,38665;16516,36251;16526,35092;16572,35761;17112,40500;17266,32915;18106,40389;18154,36114;18600,42125;18702,33828;18708,42868;18717,34205;18987,34644;19012,36182;19150,33486;19305,42775;20737,39531;20770,36178;21244,35144;21260,39288;21303,36172;21618,39165;21639,40721;21657,32801;21710,39687;21792,36373;21928,33503;21993,33362;22273,32318
11	1	8789,23194;3150,18482;3897,17712;4097,21756;4108,21379;5358,13459;5458,26186;6109,15304;6403,11257;6404,22384;6511,26536;6586,15663;6660,19402;6758,22726;6842,19260;7488,25681;7542,21457;7691,26902;7707,19170;7870,27830;8080,24777;8239,14588;8466,14465;8705,27217;8745,27827;8825,17733;9074,13374;9557,13420;9622,21421;9703,17651;9952,25391;10147,22552;10325,26732;10748,24142;10991,17671;11045,22408;11658,30011;13120,20147;15566,26174
17	1	38821,5867
20	1	33925,32607;26005,32766;26740,31566;27653,29471;27686,32471;27916,31317;28091,35319;28200,35675;28516,30603;28587,35069;28927,36437;29616,35877;30029,35961;30209,31005;30331,36390;30571,37139;30865,36238;31110,36604;31255,37843;31293,34755;31355,29955;31375,31910;31377,33430;31440,38026;31555,28933;31770,29743;31907,32178;32081,30888;32967,31065;33147,29427;34000,37728;34059,33665;34174,35949;34329,31661;34354,33145;34874,33361;35047,28126;35189,30181;35307,36748;35348,33511;35851,36347;36121,32987;36519,34529;36995,33683;37257,35152;37261,28189;38117,33696;38260,30791;38887,34495;39542,27492;39816,32881
22	1	15917,26912
34	2	67239,40876;60614,29011;60723,31560;61344,34583;62689,37092;62775,31985;63108,33471;63454,32405;64040,35653;64499,31170;64533,29201;64828,39744;65123,38451;65130,31612;65934,42480;66444,38783;66562,36752;66702,32232;67181,33210;68032,35579;68239,47283;68926,42290;69521,37053;69915,36339;69981,48075;70458,42364;70942,38505;71944,39564;72947,42428;73493,43189
35	2	80259,47350;70391,53526;71111,51299;71758,56647;71953,50190;72825,49495;73272,57456;73713,59598;74874,51539;74881,52316;74962,47347;74995,46514;76073,45754;77137,45897;77290,50656;77725,46660;78702,58075;79053,57710;79100,47051;81421,47375;82999,47638;83775,47943;84647,48096
37	2	27822,23498
38	2	69278,56007;64521,55568;65729,53965;66585,56804;68102,54840;68498,52889;69531,54951;69707,55802;69969,58231;70306,51212;70366,50054;70378,57881;72692,57921;73113,52443;73128,58830;73459,59647;73754,45903;75049,44706;75224,58388;75502,59127;75789,43487;76753,58410;77795,59027;77971,58510;79288,45592;79905,47112;80248,44862;80564,50143;80576,58312;81106,59424;81825,52772;82271,47041;83915,46651;84014,43261;84986,45515;85314,42453;85790,43575;87153,42638
39	2	73091,48064;67839,51856;68481,53955;68593,52164;68930,59152;69010,54246;69192,52676;69301,57473;69708,50557;70028,59530;70393,61272;70461,58964;71097,59941;71283,49661;71952,47740;72054,60157;72246,39856;72839,41236;73001,57922;73280,42085;73612,44193;73916,60740;74534,46801;74558,46656;74660,42919;74888,45373;75414,44600;77639,41989;77979,44252;78551,43240;78743,38330;78884,44463;79515,41268;79521,42584;81921,44296;81982,45589;82113,41818;83249,43160;83775,45529
40	2	78547,50606;77785,50318;78546,49764;79133,50948;79988,50368
41	2	55643,40937
42	2	32995,47060;23053,47649;27044,35373;28168,49259;29235,47741;29804,41858;30389,40694;30896,45885;32798,39136;35219,47035;35399,34512;37156,45992;37291,43119;38722,37104;39284,43799;40003,39796;41465,36152;42600,23941;45653,34030;46505,27132
43	2	37002,41141;25613,46397;26507,44665;34307,39863;34967,39136;34994,47657;35387,45404;35465,41282;36180,42641;37250,43439;37284,40420;37330,42242;37358,36953;38151,37560;38785,42125;38851,39775;39213,41341;39543,47168;39825,40501;40996,38966;41636,38108;41945,34826;42297,37887;44734,39827;45218,39806;45279,39671
44	2	16981,63488
47	2	16980,63628
48	2	24429,67673;24945,67956
51	2	37320,46674;34939,47228;37501,45137;38766,41786
52	2	57739,38147;57827,38351;57958,38206
53	2	57461,38560
54	2	57455,38621
56	2	57534,38841;57672,38745;57820,38936
57	100	71668,52410
61	2	76652,50314
62	2	78147,52930
62	47	17702,5838
63	2	78155,52846
64	2	78156,52882
65	2	72373,53698;71635,52072;72365,50426;73778,56237;76652,56902;82508,56561;82579,55736;84177,55857
66	2	78341,65063
67	2	60113,19555;59190,23376;59515,27701;62310,19210
68	2	24826,68032
69	2	52098,8011;37520,15040;37846,16785;38812,14978;41262,11871;42500,14062;42713,10441;43091,12223;43556,16767;45775,6891;46282,16663;46466,14398;46691,10758;47577,18627;47969,6874;48419,8918;49924,18008;50048,6839;50799,11433;51465,18395;52651,11166;52828,14991;53075,18097;53363,9739;54110,12799;55144,11605;56022,16551;56836,14736;57612,12565;58503,10813
70	2	44508,71577;30120,64833;30848,56118;31037,62722;33346,67289;34334,60043;34625,64351;36087,54621;37492,58854;38727,62832;39190,66435;39239,60101;40846,69916;42077,52928;42178,60189;43564,72284;44707,70772;45435,59456;46545,61132;47721,54956
71	2	41279,66470
72	2	45537,56913
73	2	38358,56358
74	2	30663,66828
