TempleteId	MapId	Positions
0		
1	1	8558,23620;5830,18491;6828,26286;6834,27017;7113,23011;7914,21304;7916,25536;7953,27957;8098,19766;8201,26965;8208,24589;8738,20568;8956,27776;9118,26662;9327,17825;9620,22988;9771,21458;9835,24624;10207,24378;10458,23610;10493,25839;10675,19643;11283,23059;11751,21209
4	1	6748,18126;4310,16250;4605,18581;5426,20179;5533,14866;5635,17104;6131,18575;6806,20571;6905,12662;7163,13860;7361,24231;7761,14584;7813,26032;7823,19686;7852,13016;7870,18127;8042,16207;8235,22967;8889,15501;9438,17000;9583,15391;9856,22057;10548,17787;11054,16862
6	1	30727,13496;24467,13938;28411,14673;30676,13070;30857,13266
8	1	28496,17745;26078,17198;26631,17899;27257,18591;27352,20735;27712,19504;27997,15884;28875,21087;29067,19538;29754,15740;30126,18430;30286,13552;30758,17267;30938,20490;31708,16240
9	1	29437,17670;25773,18300;25976,19236;26257,15611;26664,19691;27048,16829;27463,17666;28010,16856;28419,18784;28578,20172;29019,14983;29509,20708;29844,16692;30419,12950;30790,19409;30803,13735;30866,15261;31268,18010
10	1	37814,6191;26957,6833;29276,9092;29329,4541;30737,5577;30807,5032;33597,5958;33635,5306;33928,4904;34360,10973;34473,3182;34605,10745;34733,5921;34790,5342;34973,9963;35041,13437;35938,6120;35974,13423;36025,5700;36489,14104;36499,15108;36502,7579;37625,6515;37685,12724;38617,13450;38791,5113;39104,4703;39203,8390;39269,6934;39676,7024;39702,8400;39706,12882;39879,12569;39914,10056;39945,10758;40218,13313;40375,5551;40706,12440
11	1	38789,12423;31234,6850;33372,4026;34010,4868;34121,12441;35167,6252;35926,4260;36188,7347;36499,10413;36787,5448;37565,12739;37636,12838;37661,9413;37697,4640;38087,10842;38206,11040;38695,3820;38799,10904;38866,13830;39254,13618;39432,11944;39902,11026;39958,3611;40364,12154
12	1	21703,16428;18386,16455;19445,16018;19661,17265;19721,18288;20530,16240;21701,17539;22534,14812;23001,15983;23665,14160;23831,16245;24346,15171;25190,13693;26782,15049
14	1	9263,33113;8218,33528;8539,32187;8726,34071;8986,30234;9012,31117;9249,33695;9798,32379;9819,30804;10053,33782;10539,33019;11341,32124;11501,34028;11840,33194;12431,33503
15	1	27076,10126;25951,9791;25986,9879;26524,10205;27276,8994;27575,9631;27587,9542
17	1	18094,24365
19	1	36324,30113;18204,7148;18249,3196;18648,4245;18989,8096;19142,3850;19644,5101;19775,9227;20270,7719;20285,8522;20288,6645;20302,2546;20468,4308;21129,3623;21224,3632;21333,4761;21502,9355;21664,5584;21991,6455;22089,9944;22362,7639;22464,4793;22761,8969;23311,6707;23319,8161;23504,4831;23532,9924;23830,5605;24542,6510;24689,7141;24774,7092;25648,8105;31370,35464;31697,34544;31878,36168;32070,33165;32241,35482;32343,33385;32521,28964;32622,30362;32711,28259;32786,35655;32812,32960;32860,38587;32864,30259;32957,38104;33007,34233;33155,34472;33160,37750;33505,37590;33519,35130;33720,29266;33738,28398;33839,37615;33888,28647;34174,36915;34355,30688;34449,37182;34686,27917;35240,29282;35536,31589;36183,29835;37201,29503;37261,32402;37289,31197;37641,31191;38130,30656;38153,28716;38671,32013;38681,28914;39301,29778;39474,30825;39498,31015;39627,32619;39695,29727;40014,32089;40311,31087;40473,30782
20	1	15969,4346;16302,4328
21	6	26011,67239;13689,72038;16124,69272;16607,65762;17348,71422;21343,66128;21672,72203;21941,63145;22475,74766;23767,68660;23833,77043;24310,62466;24394,71376;25635,69493;27196,71201;27471,60167;27815,67121;27993,75231;28068,64199;28694,69131;29564,65418;30299,67164;30836,61974;31894,59039;32914,66325;33041,61939;34027,57486;34527,63763;34778,61523;35620,59659;37044,66772
22	1	10926,33450
23	1	19046,26652
24	1	21060,26149
25	1	18604,24988
26	1	3310,30008
27	1	13096,35189
28	1	16622,26774
29	1	22766,18450
30	1	14862,28729
31	1	7851,37409
33	74	15382,25062
34	74	15337,25036
35	1	17747,26476
36	1	17027,28220
37	1	17020,26405
38	1	10321,37663
39	1	30357,27350
40	1	26661,9468
41	1	14342,25857;14558,26093
42	1	15853,27026;15942,27001;17036,26286
44	1	34017,29184;10689,35203;11076,35215;12950,27442;12996,26976;15469,28225;16581,20719;17574,24722;18257,30150;20001,29385;20439,29393;20714,25833;20879,31472;21831,23282;21910,24251;22042,23399;22229,31278;29918,27100;30070,26528;30339,27491;30493,27363;31316,25695;32106,33402;32290,29012;32523,28490;32597,30143;32622,38172;32708,37787;32994,34477;33000,26077;33682,37380;33864,28348;34180,30587;34481,30438;34525,36825;34758,19609;35083,18983;35335,29159;35402,19676;35526,31350;35640,19678;35763,31545;36094,29985;37033,32506;37483,30965;38030,28877;39478,32542;39633,30959;40511,31046
46	1	19902,29831
48	1	16064,28611
50	1	20057,27671
50	5	12030,7900
50	15	56935,34842
51	1	9812,27893
57	36	2954,24948
58	1	17718,23901
60	1	8272,35354;7889,35283;7968,35509;8087,35102;8164,35609;8346,34939;8437,35612;8561,35313;8573,38621;8697,35662;8841,38267;8903,35413;8968,38719;9012,38516;9255,38506;9264,38207;9339,38845;15267,21581;15487,22024;15625,21608;15812,21936
62	1	12656,38588
63	1	17564,23928
64	1	17566,23924
64	74	16251,26069
65	1	19549,29794
66	1	19765,29986
67	1	20060,4851;19942,4941;20033,4984;20057,5045;20317,5246;20528,5267;20936,4232;21000,4233;21047,4341;21121,4318;22929,6434;23093,6369;23750,4957;23824,5008;23827,4810;25215,6385;30673,33884;30752,33996;30926,34226;31201,36825;31207,33553;31271,36760;31342,33530;31345,33708;33326,38175;33589,38188;33648,38056;33708,37957;33867,37859;34195,30160;35499,31093;40012,29212
67	22	66770,32692;67843,30117
69	1	19984,29851
70	2	85453,72319
72	2	78241,64072
73	2	78363,64324
74	2	77568,51457
75	2	77828,54857
76	2	72089,45055
76	21	52890,29347
77	2	78259,52918
78	2	78973,52374
79	2	77992,51384
80	2	78459,54894
81	2	74982,53302
82	2	73987,47303
83	2	52021,47665
84	2	74052,38575
85	2	78430,63940
86	2	52462,47218
87	2	12420,10341
88	2	52748,22501
89	2	49542,14160
90	2	18983,55793
91	2	24507,67655
92	2	17406,63863
93	2	18428,55253
94	2	23359,52912
95	2	17048,63647
96	2	52406,39717
97	2	54724,49339
98	2	54637,49262
99	2	46332,47544
100	2	48784,44309
101	2	46035,46437
102	2	44991,39578
103	2	50288,45837
104	2	56936,37907
105	2	55269,41960
106	2	48999,44876
107	2	54790,49434
108	2	54493,49241
109	2	56135,45704
110	2	56496,39215
111	2	87033,42557
112	2	49416,44340
113	2	57617,38372
114	2	57500,42194
115	2	56878,42732
116	2	52616,43082
117	2	42672,48593
118	2	31436,61175
119	2	72347,63520;63159,57468;64903,59111;65114,55679;65912,59131;68496,56795;68584,59573;68756,61584;69406,62488;69523,55482;69927,60754;70091,61795;70345,57855;70616,59477;70915,62763;71619,62751;72224,64919;72988,64776;73230,61524;73621,63225;73705,67929;74126,64259;74560,61266;74860,65869;74903,67089;75012,68043;75106,64957;76025,59059;76057,63883;76391,64591;77011,63678;77058,65711
120	2	64799,62350;57216,55357;58294,56035;58355,56657;58554,55089;58900,55528;59137,57802;59380,64448;59406,58589;59793,60452;59867,63762;60075,59475;60084,56961;60311,55112;60360,62601;60375,55711;60575,63413;61292,64044;61367,62923;62678,57655;62818,55783;63164,61956;63705,62713;64177,54371;64348,61549;64358,56307;64492,58047;65000,59344;65264,62752;65560,55628;65761,61200;65955,62002;66102,54072;66162,50364;66354,48946;66516,52480;66726,59155;66862,62653;66941,61939;67486,49871;67725,52248;67896,49025;68609,48974;69144,51020;69194,52554;69558,49424
121	2	76482,38213;68557,32770;70315,31943;70565,34856;71016,38015;71414,32830;71574,34138;71839,36256;72427,40526;73607,42281;73698,38080;74369,36129;74791,38524;74843,43537;75260,40028;75402,32236;75952,35612;76463,36363;76817,41092;77211,32746;77281,35357;77296,30713;77599,43651;77634,37416;77760,42186;77870,37287;78017,45873;78589,41331;78624,42921;78625,32699;79037,44658;79120,39099;79285,35813;80399,38934;80780,42964;81391,37961;81742,40601;82964,38951
122	2	73751,37190;68429,42112;69707,41331;70903,43244;71129,36180;71891,37317;72009,39087;72300,41572;72462,37074;72705,48341;72912,38390;73492,36419;74048,46576;74129,39326;74256,34588;74510,44327;74762,34619;74880,36900;75454,43383;75612,37717;76391,41498;76635,42644;77591,46398;78444,37130;78809,43984;78889,39600;79216,42866;79325,34088;79475,46982;79709,36770;79991,40079;80251,42954;81294,43749;81489,42604;81628,44603;82608,40642;82711,38641;83078,38032;84476,40688;84497,37020;84658,39848;84896,46150
123	2	70715,33099;67092,31174;67878,26429;67882,29205;68346,32603;68742,31378;69075,33597;69223,34533;69522,30948;69537,27054;70158,36346;70387,31005;70877,34101;71090,38257;71248,32690;72322,35387;72384,38264;72517,39937;72793,30711;73201,37390;73444,32727;73653,34863;73941,39371;74258,43652;74269,26249;75135,31377;75159,40390;75358,29150;75550,32806;76212,33378;76591,36967;76928,37565;77099,37904;77355,28280;77752,29257;78376,41466;78419,31805;79507,27088;80780,31835
124	2	68543,32625;63315,36273;64955,35370;65064,38572;65311,31502;65769,36615;66366,32067;66884,33078;66903,37259;68331,31223;68547,34010;70056,34962;70651,31269;73277,31805;73601,33681;75626,34263;77382,37731;78916,32001;79721,35388;79825,38575;80385,33344;80832,41171;81720,33056;82776,43455;84164,33135;84437,38354;85430,35037;86388,38888;86593,37358;86849,35599;88664,35304
125	2	70378,23800;64491,22727;65868,25661;66212,28556;66239,21065;66567,22541;67540,19777;67917,30617;67999,26831;68124,29855;68329,22187;69541,22527;70632,26431;70955,22434;71313,32868;71806,25296;72189,31209;72674,31209;72839,24533;73205,27497;73369,23080;74056,25541;74793,30158;76013,33545;76407,25044;77464,32315;77615,29840;78148,21215;78442,16593;78665,31408;78790,35523;78995,25654;79519,18868;80340,31536;81556,20513;81580,23712;81669,18894;81713,30564;82171,34232;82372,27119;83078,29440;83782,30918;83990,28721;84609,24694;85431,29294;85574,26569;86816,24232;86894,26349;87088,30136
126	2	83418,31999;62356,39905;62461,32011;63745,40888;63931,28859;65083,36800;65275,32803;65363,31433;66660,30766;66673,36171;67346,26776;67380,22815;67615,26839;67902,36916;67959,22607;68352,35256;69047,34292;69392,36052;70181,34862;70899,34104;73937,32633;74038,35439;74139,34671;74472,32556;75661,34707;76051,35833;76093,38104;76464,36675;77291,37150;78094,34760;78829,37508;79377,32878;80247,29416;80679,29124;80734,31131;80798,29523;81310,32697;81510,34898;81512,34886;81974,31271;82433,28676;82466,33794;82826,32431;82981,28776;82991,28197;83000,38762;83934,33638;84344,30874;84713,31551;85222,34144;85753,31786;86503,32915;86946,26926;86953,31324;87071,29691;87566,30560;87800,32107;88286,39072;88636,34046
127	2	27003,41101;22094,49351;24331,43879;25486,41410;26438,39765;26870,37771;26934,47553;27352,35889;27629,42775;28213,37756;28625,49428;28883,47337;29192,42384;29998,41400;30948,46355;31423,38840;31523,40769;32933,47692;33464,43460;34187,45729;34392,47058;34750,44563;34990,43043;35069,48713;35454,45638;35666,36962;35760,40997;36469,42140;37455,48496;37584,37882;38269,40351;39405,45108;42482,21839;42905,33786;44181,25319;44954,28474;45854,34043;47252,29577;47536,28571;48012,23284;48595,24851;49624,28683
128	2	24894,49064;22372,47970;23362,47235;24205,46190;24334,41825;24716,37453;24774,39696;25099,51623;25930,43206;26730,44674;26865,50494;28410,39616;29548,38958;30206,48231;31054,44588;31415,47802;31702,49130;32500,44531;32698,46228;33268,48941;33733,42167;34012,39354;34941,38484;35981,47062;36273,44261;36976,46440;37355,42907;37580,41384;38543,47724;38885,37209;39001,49052;39048,46499;39874,39540;41820,35816;42777,23822;43271,32409;44686,31448;46024,23161;46535,26844;48353,31129;49516,27232
129	2	50200,11308;36998,18993;39721,15021;40857,13491;41100,15532;42029,16090;45073,9799;45806,11904;47323,11389;47500,9915;47942,8395;48396,9743;49830,7971;50309,9976;51011,13228;51617,8200;52004,11910;52812,8933;54002,11514;55750,12251;56102,14189;56742,12958;58128,12760
130	2	46274,10389;38249,16918;39854,17140;40886,11562;41775,10976;42525,14312;42999,12784;43265,9168;43309,11606;44504,12534;44531,8093;45758,9048;46572,7939;46965,8984;48276,7022;49651,9065;51871,10545;53755,10600;53973,13758;54676,9689;54771,12625;55821,11278;57685,10188
131	2	51501,47855
132	2	47087,16789;42839,15703;44101,18162;44906,16410;46079,14207;48537,17905;48714,15736;51531,9345;51686,16422;51870,12621;52046,18994;52079,14928;53745,19198;54183,17401;54223,15200;55132,15171;55927,15548;56904,9095;57401,14351
133	2	52693,17792;41859,17285;44169,13844;44702,15107;45768,17509;46541,15267;46786,18941;47523,15471;50237,15706;50255,18067;51573,15694;52920,12485;53414,16181;55099,17172;55225,18900;56202,17316;56454,10550;57011,18223
134	2	56693,19004
135	2	31332,60222;30324,66193;30343,66472;30635,58397;31173,56835;31210,56996;31289,60460;31891,65252;32045,65255;32184,55866;32776,57303;33093,62921;33588,57976;33709,60525;33975,61647;34022,61416;35473,54725;36226,56785;38609,59726;39010,63136;39090,63346;41485,69407;41502,57240;41818,63009;42460,66261;43887,72398;43900,71410;44248,72375;45078,66388;45265,64823;45501,65947;45992,57532;46193,71238;46229,71057;46458,69225;46776,60595;49306,64657;51017,68208;51351,66723
136	2	32123,59431;30977,66084;31175,58906;31213,59066;31459,64015;31820,60016;31915,66089;31952,66372;32069,60054;32717,55302;32773,57178;33090,63056;33194,55260;33546,57875;33842,62531;33901,62751;34873,59703;35985,57862;36121,56819;38557,57039;38941,57006;39410,60377;39447,60181;40393,69258;40987,58113;41144,57084;41756,63915;42332,67026;44179,70269;45034,69585;45333,68420;45506,67333;46255,59129;46628,69326;46699,58083;46737,59952;49427,64617;51022,68348;52322,66718
137	2	40864,66258;30514,64975;30561,65139;31136,66713;31335,62911;31638,60891;31807,61187;33756,54868;34131,57187;34267,64249;34398,58396;34596,58439;35342,54726;37966,59709;39048,56335;39051,59120;39341,59553;39665,64328;39669,56424;39780,57400;39933,57409;40219,65396;40478,65680;41221,61239;41408,61127;41429,68233;41542,67734;41924,68319;45236,61351;45403,56719;45631,59553;45952,60665;46027,60233;48128,69758;51036,66982;51061,67518;51462,66816;51745,69778;52189,66680
138	2	39776,59340;31202,63054;31494,66713;32700,64304;33173,65940;33380,65992;33522,65747;33593,54866;33795,58968;33963,58998;34173,57079;34407,64131;34737,59734;34919,59596;37775,59039;37927,56563;38222,56487;39569,58931;39686,64453;40876,66667;40936,60430;40940,60240;41885,59863;42097,59044;42329,63729;42423,63789;42456,60367;45315,56884;45447,61165;46072,71136;46458,63430;46612,63467;48307,69707;50878,63638;50927,63677;52217,66826;52544,68591;52583,68523
139	2	49748,66095;37597,59092;37607,58902;37951,56368;37975,56180;38112,56319;39298,59325;39530,59380;39591,63383;40444,61942;40621,63998;41156,66310;41248,66642;41536,63240;42033,59716;42084,59973;42215,59235;42361,58982;42620,60212;42660,60510;42767,52757;43158,52794;43615,53477;44388,52934;45358,53445;45473,62960;45690,56947;46150,63847;46262,65978;46425,54356;46808,59525;47070,71026;47660,57812;47874,67225;48154,56762;48695,68071;50321,69039;51486,65535;52706,65517
140	2	49442,67217;37796,59665;37911,59874;39292,56364;39311,56185;39340,59091;39379,64633;39456,65565;39466,56371;39471,65048;39493,56189;39525,59154;41249,68795;41837,67920;42252,52281;42360,52832;42547,52317;43449,63251;44657,53702;45495,54472;46196,64743;46232,58658;46247,60485;46294,66854;46321,67940;46980,57673;47260,55453;47804,56055;48017,57325;48459,68655;48700,65974;49238,70715;49695,69896;49740,68235;49955,66559;50150,67497;50414,65472;50645,64544;51673,64368
141	2	31322,66717
142	2	25547,23108;11865,26330;12025,19292;13139,21614;13419,25225;14211,15634;14740,23142;16611,13919;18190,11634;18564,20446;19156,12630;22132,12537;22192,15272;22712,13125;23199,15511;23573,20346;24467,21814;24875,19532;24966,13104;25290,21401;25978,28565;26325,24939;26520,28153;26818,22310;27177,30773;27399,27559;27485,24502;30052,26960;31011,26526;31995,29659;32386,12007;32736,28925
143	2	24163,24020;10846,20021;11027,16594;11663,17620;12613,25768;13416,20334;13817,15885;16223,14196;17728,19319;20854,13353;21016,22070;22218,21254;22358,14740;22575,23300;22926,24883;23318,22674;24776,26427;25593,25475;25647,11791;25670,30638;25806,29332;27250,32917;27743,27287;28066,32253;28559,26648;29336,26230;29822,13570;30657,13229;30926,28205;31698,12576
144	2	16680,17549;10237,15436;10837,26602;12152,20262;12413,23091;13197,11916;13876,19193;13953,15256;14652,25044;14923,13549;15016,17695;15599,11739;15751,20649;16124,23577;16183,26110;16190,16157;16381,13574;16460,22065;16784,20527;17396,8956;17595,18142;17677,14602;18236,22826;18530,16210;20406,19180;20458,14840;21982,11898;22073,18099;23105,12661;23296,16880;23816,13921;23819,18947;24205,14923;24316,22861;26019,17407;27843,14110;27885,15743;28515,13188;30021,16505;30174,31128
145	2	15804,22521;10558,27520;10959,13139;11372,21544;12578,14310;13537,15624;13623,17187;14034,24121;14101,14089;14293,22089;14672,19924;15157,26845;15658,24808;15975,13838;16159,11325;17454,23467;17574,16886;17596,21724;17677,10640;18934,22302;18950,20005;19510,15515;20297,21300;20679,12664;20930,18791;21256,13676;21536,18429;21606,14048;22307,20056;23967,17141;24934,18167;25038,15935;25424,14033;25442,24446;26581,15057;26856,16838;26925,26521;26947,13039;29723,14856;31156,15427;33271,11594
146	2	15496,8709
147	2	9067,12892
148	2	73365,19012;68388,12820;68804,13064;70501,14304;70680,16410;70983,18100;71038,19340;72273,20642;72500,17268;72550,19713;72807,16392;73580,17632;73973,16327;74182,18563;74694,19624;75705,21258;76496,20165;76501,18529;78221,20291;78250,21551
149	2	73420,15670;71061,20114;72512,15274;73679,15163;73781,20269;76646,21568;78230,22392
150	2	49929,40659;53294,37194;54320,40639
151	2	87755,27328
152	2	57881,15019
153	2	40011,67324
154	2	33731,10826
155	2	84866,33761;80748,33622;82029,34390;82350,41096;82387,31996;82991,33890;83450,42673;84038,35597;84063,32584;84303,44227;84321,42768;84391,39893;84411,30275;85051,46506;85264,35971;85268,41148;85300,45286;85646,48250;85690,38524;85922,43322;86073,31598;86219,49727;86270,46738;86450,35037;86502,42575;86620,45443;86835,33637;86882,30320;87546,43527;87701,31109;87911,34596;88308,46859;88760,33945;90105,34206
158	2	78672,50173;76382,50232;77226,50438;77348,49802;78290,50469;78883,50631;79122,50839;79670,49977;79961,49757;80287,50204
159	2	58997,44906
161	2	51895,23576;50230,21233;50278,21903;51257,22238;51683,21561;51734,24805;51735,28273;52212,22491;52256,26725;52474,21614;52539,24262;52890,28775;53314,26884;53841,24327;54304,26408;54529,28677
163	2	72584,39218;71757,38268;72722,39354;72738,39147;77141,53573;79452,66050;80004,37932;80144,38159;80190,37906;80981,53742;81652,52495
165	2	48850,44085
165	23	42259,52494
166	2	52022,40805;47875,47937;48054,47633;51905,39287;51951,40343;52115,41284;52590,39120;53102,40193;53118,44823;53180,44420;53240,41099;53672,45653;54292,45016;54354,44648;54490,45720;55199,35623;55377,36457;55882,42339;57234,42009;57271,42441;57272,49380;59895,45074;59897,45711;61794,45141;61802,45644;63322,45068;63333,45709
167	2	46167,45733;42857,48903;43146,48915;45475,43181;45810,43420;46181,45153;47909,41955;47914,41571;49203,48039;49440,47508;50569,43743;50906,43462;51866,49067;52193,48836;53160,40635;55770,45129;55782,44982;58087,50176;58388,50357;73298,58236;78394,64040;78522,63961;85135,72168;85556,72518
168	2	12885,14368;10013,15428;10227,15149;10445,15436;12517,14531;12530,14046;12949,11871;13189,12194;13395,11872;14836,17629;15195,17528;16005,16140;16273,15938;17355,10530;17500,14612;17618,10833;17736,10423;17795,14404
169	2	45739,47833
170	2	45947,47862
171	2	46470,47843
172	2	46503,47516
173	2	84240,60924
174	2	84161,61003
175	2	52259,41667
176	2	70528,52820;70568,54548;71903,56775
177	2	47786,39263
178	2	51808,52642
179	2	56801,41659
181	2	57679,38828;58011,38223
186	2	22250,67991
189	2	21027,70194
190	2	36021,22993
191	6	48594,32100
192	36	16851,5743;16875,2624;17399,10655;20510,7584
193	36	18098,17352;16502,17197;19403,19516;21056,20407
194	36	16968,5810;17001,2588;20435,7660
196	36	18942,6878;14584,2887;14910,5797;14985,5682;15368,3281;16923,8934;17540,6666;17815,8843;18967,6796;19034,3908;19061,3841;19595,13004;20495,7431
197	36	19360,19385;13846,16142;14103,16119;16461,17071;17967,17575;18201,17258;21223,20424
198	36	18406,25508;16517,34385;17680,25487;19510,33241
200	36	12155,25214;5148,24842;6797,25187;6809,24694;10420,24722;10427,25230;12159,24740
