QuestID	QuestName	Objective	Description	DunningDialogue	UnfinishedDialogue	FinishedDialogue	Difficulty	StartGossipType	StartGossip1	StartGossip2	StartGossip3	StartGossip4	EndGossipType	EndGossip1	EndGossip2	EndGossip3	EndGossip4	QuestValueStr1	QuestValueStr2	QuestValueStr3	QuestValueStr4	QuestValueStr5	QuestValueStr6	QuestValueStr7	QuestValueStr8	IsUseScriptedItem	QuestFinishedObjective	QuestFailedObjective
0	无效任务名称	<G>无效任务目标	<G>无效任务描述	<G>无效未完成对话（接任务处）	<G>无效未完成对话（交任务处）	<G>无效完成对话		0					0													0		
40	无效任务名称	<G>无效任务目标	<G>无效任务描述	<G>无效未完成对话（接任务处）	<G>无效未完成对话（交任务处）	<G>无效完成对话		0					0													0		
41	执法堂	<G>王遗风让你去内谷南门西侧找陶寒亭，帮他做事。	<G>本谷之中虽然号称百无禁忌，但内谷和外谷还是有着一定区别，本谷之内势力驳杂，许多恶人拉帮结党，而在与外敌对抗的时候，总有一些恶人不顾大局，会不适当地发泄他们的情绪，这会让本谷同时遭遇内外双重的麻烦，也不免让一些兄弟感到无力。\n<H28><G>因而，原本不管谷中琐事的雪魔堂介入了谷内之事，他们现在由雪魔堂主寒亭率领，对触犯恶人谷行事底限之事皆会严厉打击。\n<H28><G>如若你不想被捉去炎狱山受罪，最好还是收敛一些。若是想迅速接触本谷核心，还是先加入雪魔堂做事，也可省了许多麻烦。	<G>哪怕是幽冥地狱……也挡不住我……	<G>紫霞……紫霞……	<G>你想好了，要在我手下做事，可要用出全部心力方可，恶人谷的雪魔堂管教的并非寻常百姓，常有江湖上的出名恶徒，若是雪魔堂下属犯事，陶某更要重刑责罚！		0					0													0		
42	回禀代坊主	<G>浣花溪的薛涛让你向忆盈楼上的萧白胭转达她的问候。	<G>多亏你相助，方才保得我浣花溪的安宁。小女子在此谢过了。\n<H28><G>贵坊自萧白胭代坊主代理坊内一切事物以来，我还没有去拜会过。本想带小蓉一起前去探望，不过这浣花溪经这帮庸人骚扰，颇待整饬，小女子便再择日前往吧。\n<H28><G>烦劳你<F171 代为向><F173 代坊主萧白胭><F171 致谢>，小蓉在此我会好好照料。我一个人也无聊，正好让她作伴，让坊主不要牵挂。	<G>多谢你了。	<G>呵呵。	<G>既是薛姑娘所说，白胭自然放心。只希望小蓉这孩子不要惹祸。		0					0													0		
43	犒劳鬼脚七	<G>帮恶人谷内谷的楚霞影带一篮瓜果给执法堂的鬼脚七。	<G><F174 楚霞影取出一篮子瓜果，果香芬芳。>\n<H28><G>听说今日有浩气盟的好手潜入谷中，七哥为了追拿这人，受了些轻伤，这<F171 一篮瓜果>，你代我拿给他吧。\n<H28><G>哦，七哥绰号<F173 鬼脚七>，脚上功夫很是了得。他是陶叔叔执法堂的大将，你去找陶叔叔定然会碰到他。	<G>天南地北双飞客……	<G><F174 鬼脚七目光炯炯，打量着来往恶人。>	<G>小妹又送来好吃的么？说起来小妹年纪虽不大，可却是谷中的老人啊，当年小妹和堂主大人入谷之时，她才那般小。哈哈！说起来要不是托堂主大人的福气，我们可吃不到这般鲜亮的果子。		0					0													0		
44	醉红院有麻烦	<G>前往东北边酒池峡正中的青楼：醉红院的南院，找到十大恶人之一的米丽古丽。	<G><F174 陶寒亭点头笑道：>\n<H28><G>通过了外谷重重磨难而生存下来的你，已经是恶人谷内的一员了！有些恶人谷内之事务，你如今也可以接触了，我手上正好有件事要人去办，就你了吧。\n<H28><G>咱们谷内<F173 东北边>有个<F173 酒池峡>，是恶人谷内气候最为舒适之所在！为了造福谷内各位豪杰，<F173 米丽古丽>在<F173 酒池峡正中>建立并维持着<F173 醉红院>的经营，但凡立下功劳的恶人，都可去醉红院中快活。\n<H28><G>但谷内总有那些不开眼的恶人，被酒色迷了心，竟趁米丽古丽不在之时在醉红院捣乱。\n<H28><G>最近醉红院又碰上了一些麻烦，醉红院主懒得出手，便差人把此事报上了雪魔堂。\n<H28><G>你带我雪魔堂堂主的口令——<F171 恶人执法令>，去酒池峡醉红院中找到米丽古丽，她要你做什么，你便听从，顺便也增长你这个新进恶人的阅历。\n<H28><G><F174 陶寒亭又想了想：>\n<H28><G>醉红院主乃是谷内十大恶人之一，莫要对她不敬，否则我也保不住你。	<G>内谷不同外谷，你刚入内谷，行事之间仔细斟酌，莫要大意送了性命。	<G><F174 这女子看来柔弱，但眼目开合自带煞气。>	<G><F174 这女子神色迷离，眼波朦胧，她明明站在你面前，看上去却又似笼在雾中。>\n<H28><G><F174 她前后打量了你几眼，淡淡开口。>\n<H28><G>怎么是生面孔？陶寒亭怎么找了个新来的敷衍我？		0					0													0		
45	酒池峡的执法	<G>去东北面酒池峡正中的醉红院北院找执法队长：八臂飞猿古寒。	<G><N>，东北边<F173 酒池峡内>的执法队长：八臂飞猿<F173 古寒>传来消息，说酒池峡内的一些柳公子手下行为越界了，你去看看有没有能帮他做的事。\n<H28><G><F174 陶寒亭缓缓对你介绍说：>\n<H28><G>酒池峡乃是谷中难得的温泉之峡，这峡谷乃是个珍奇之地，内有数个温泉，令气候温暖舒适，因而被本谷刻意保存下来，运来了适合在温暖条件下生存的野兽，常年谷中人需要的食材，兽肉等有部分就由奴隶从那里运出。\n<H28><G>古寒如今<F173 在酒池峡正中的醉红院>等候，你这便去找他吧！	<G>柳公子并非愚笨之人，若是他在谷中，想来不会纵容手下破坏规矩。	<G>无效未完成对话（交任务处）	<G><F174 古寒抱拳道：>\n<H28><G>堂主既然派人来支援酒池峡，我便安心了，若是再无人管束，那些猢狲可要闹翻天了。		0					0													0		
46	有金子了不起？	<G>醉红院南院的米丽古丽让你前往珍兽林最东边柳公子的藏宝室附近，取得看守财宝的公子哥的玉镯子。	<G><F174 米丽古丽嗔怒道：>\n<H28><G>柳公子的手下坏了谷内规矩，最近他似乎在外面大干了一笔买卖，手下的那些公子哥也得了不少好处。\n<H28><G>这些泼才仗着自己有了几个钱，来醉红院里快活，竟敢虐待我手下的女子。\n<H28><G>我去找过柳公子，却未曾见他，这些喽罗若是我来动手，只怕谷内要血流成河，怕是要给陶公子惹来许多麻烦。看在执法堂的面上，便交由你们处理吧，去<F173 珍兽林最东边>将那些柳公子刚发给那些公子哥的<F171 玉镯子>全部抢来，我便饶过此事！	<G><F174 米丽古丽俏脸含怒，心意不平。>	<G><F174 米丽古丽俏脸含怒，心意不平。>	<G><F174 米丽古丽见你带着镯子回来，惊奇说道：>\n<H28><G>这般快速么？却原来是个好手，近日谷中新进恶人之中，你这般身手只怕是百里挑一了。你用心替我做事，姐姐我自会在陶公子面前替你美言几句。\n<H28><G>哦，我这儿有一本书，不知道哪个来这儿快活留下的，还是你拿去吧。\n<H28><G>哈，能来这醉红楼的，还装什么斯文，附庸什么风雅。		0					0													0	将玉镯子交给米丽古丽。	
47	被占据的温泉	<G>醉红院的古寒让你去西北边的酒池温泉，教训那些泡澡公子。	<G><F174 古寒向你解说：>\n<H28><G>你初来乍到，或许还不知这酒池峡的功用，我便想你解说一二吧。\n<H28><G>这酒池峡内的珍兽林和温泉皆由柳公子掌管，本谷内恶人按照地位和贡献，可按月分发到不同份额的食材，也可按时享用温泉的滋润。\n<H28><G>柳公子是当今天下两大神偷之一，耳目灵便，也是谷内财源相关消息的主管。不过近日酒池峡内有些金钱帮的门徒前来投效，这些奴仆竟敢侵占其他恶人泡温泉的时间，不过既然这些人犯了规矩，雪魔堂便不能坐视！\n<H28><G>这是对谷内秩序的挑战，违犯者死，你这便前往<F173 西北边的温泉区>，除去十名<F172 泡澡公子>！	<G>本地的帮会太没有礼貌了！	<G>本地的帮会太没有礼貌了！	<G>想来即使是陶堂主这样严格的人，也会对你做事的效率极为满意吧！\n<H28><G>如今这些白痴该知道了，规矩可不是用来破坏的！		0					0													0	回复古寒。	
48	不尊规矩的要死	<G>醉红院中的古寒让你杀死西北边酒池温泉的无骨奴隶。	<G><F174 古寒皱眉道：>\n<H28><G>这酒池峡中有些奴隶不守本分，被柳公子手下那些前来抢占温泉的泡澡之人用钱雇佣，竟敢违背身为奴隶的职责，帮他们殴打前来夺回温泉的恶人。\n<H28><G>如此奴隶，毫无骨气，为金钱所动，此生休想摆脱奴籍！\n<H28><G>不过说回来既然他们犯了规矩，也莫要想活在谷中了！<N>，去酒池峡，顺便宰了那些<F172 无骨奴隶>！	<G>外间传言，一入此谷，永不受苦，嘿嘿！天下哪有这等好事！任何所在，若无本事，也只能忍受无边苦难罢了，这一桩你可要记好！	<G>外间传言，一入此谷，永不受苦，嘿嘿！天下哪有这等好事！任何所在，若无本事，也只能忍受无边苦难罢了，这一桩你可要记好！	<G>这些奴隶终日劳累，筋骨已累废大半，想来你收拾起来不费吹灰之力吧！		0					0													0	回复古寒。	
