SkillID	OpenLevel
10	2
34	2
35	70
52	4
58	4
81	10
100	46
101	20
130	10
131	48
132	22
133	38
134	40
136	42
137	18
138	24
139	22
140	38
141	32
142	28
143	42
179	1
180	5
181	26
182	15
183	34
184	44
186	36
187	40
188	50
189	18
190	30
200	20
230	20
232	1
233	5
234	22
235	20
236	36
237	48
238	15
239	38
240	34
241	10
242	26
243	30
244	28
245	18
246	18
247	28
248	32
249	40
250	40
251	32
252	44
254	38
255	26
257	46
258	24
259	34
260	50
261	42
300	15
301	5
302	40
303	24
305	30
306	10
307	42
308	26
309	30
310	34
311	20
312	15
313	48
314	18
316	46
347	20
355	32
356	38
357	44
358	36
359	28
360	22
361	28
362	22
363	38
364	1
365	5
366	40
367	1
368	42
369	26
370	34
371	50
372	50
400	1
401	5
402	24
403	15
404	18
405	28
411	26
412	46
413	50
415	10
418	30
422	32
423	42
425	46
426	36
427	20
428	20
433	48
441	38
442	24
479	44
480	40
482	34
526	20
537	5
543	46
544	30
545	10
546	24
547	34
548	26
549	28
550	22
551	32
552	50
553	1
554	18
555	28
556	40
557	44
558	26
559	38
561	15
562	5
563	44
564	38
565	5
566	42
567	40
568	38
569	20
570	48
571	28
573	36
574	46
588	24
605	20
608	1
662	20
740	20
745	20
754	20
778	20
781	20
1020	20
1577	20
1578	26
1579	5
1581	26
1587	26
1589	32
1593	20
1596	38
1600	15
1610	15
1613	30
1645	44
1646	1
1647	28
1649	34
1651	22
1655	42
1656	15
1663	28
1664	18
1665	36
1666	10
1667	40
1668	22
1866	20
1940	40
2209	1
2210	30
2211	5
2212	20
2213	36
2214	15
2215	22
2216	32
2217	26
2220	26
2221	28
2222	44
2223	18
2224	24
2225	50
2226	38
2229	32
2230	28
2231	34
2232	15
2233	20
2234	42
2235	40
2481	20
2487	20
3003	24
3087	15
3088	5
3089	26
3090	40
3091	32
3092	34
3093	20
3094	36
3095	1
3096	18
3097	24
3098	28
3099	38
3103	48	
3104	50
3105	1
3106	22
3107	38
3108	18
3109	28
3112	34
3113	30
3114	42
3115	10
3116	46
3117	44
3702	10
9002	15
9003	2
10000	18
10002	15
10003	15
10009	15
10011	15
10012	15
10014	15
10015	15
10017	15
10018	18
10019	18
10021	15
10023	22
10024	24
10026	15
10028	15
10031	15
10032	18
10033	20
10034	15
10035	20
10036	20
10061	20
10062	15
10068	15
10069	18
10070	15
10072	20
10076	20
10077	20
10078	20
10080	15
10081	15
10088	15
10089	15
10100	20
10101	20
10102	20
10103	20
10104	20
10144	15
10145	15
10146	15
10148	15
10149	15
10150	15
10161	20
10171	15
10172	15
10173	15
10174	15
10175	15
10176	15
10193	20
10194	20
