name	r	g	b
black	0	0	0
white	255	255	255
gray1	207	207	207
gray2	173	173	173
gray3	150	150	150
gray4	99	99	99
gray5	69	84	75
gray6	40	40	40
yellow1	255	255	187
yellow2	255	255	0
yellow3	163	176	106
yellow4	96	96	0
yellow5	150	140	0
orange1	255	202	126
orange2	255	150	0
orange3	169	99	0
orange4	230	140	0
red1	255	126	126
red2	255	0	0
red3	169	0	0
red4	139	46	28
red5	220	30	0
purpre1	202	126	255
purpre2	185	38	210
purpre3	94	27	160
blue1	126	126	255
blue2	0	126	255
blue3	0	0	169
blue4	30	54	108
green1	126	227	163
green2	0	200	72
green3	0	132	47
green4	16	88	48
other	163	176	106
other2	146	222	95
purpre4	223	17	201
red6	239	55	12
blue5	30	104	254
yellow6	239	255	9
green5	76	223	21
gray7	38	38	38
yellow7	120	99	3
green6	4	209	182
green7	79	255	108
red7	255	0	18
blue6	51	243	255
blue7	48	189	214
purpre5 121     65      83
